VISIT_AREA,Predict,Satisfied_Prob,Neutral_Prob,Dissatisfied_Prob
천지연폭포,Satisfied,0.5,0.4,0.1
혼인지,Satisfied,0.44,0.42,0.14
금능해수욕장,Neutral,0.43,0.44,0.13
속초관광수산시장,Neutral,0.42,0.46,0.12
오설록 티 뮤지엄,Neutral,0.42,0.44,0.14
서귀포 매일 올레시장,Neutral,0.41,0.49,0.1
제주동문재래시장,Neutral,0.41,0.44,0.14
성산일출봉,Neutral,0.4,0.5,0.1
정방폭포,Neutral,0.4,0.48,0.12
전주한옥마을,Neutral,0.38,0.48,0.14
비자림,Neutral,0.38,0.48,0.14
제주동문시장,Neutral,0.38,0.45,0.17
경기전,Neutral,0.37,0.49,0.14
제주동문재래 야시장,Neutral,0.36,0.52,0.12
초원 사진관,Neutral,0.35,0.51,0.14
