COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e000005,1,1,4,1
1,e_e000191,1,2,5,1
3,e_e000191,11,2,5,1
2,e_e000191,11,2,8,1
4,e_e000191,11,1,6,1
1,e_e000316,7,2,3,1
2,e_e000668,2,1,2,1
4,e_e000668,3,1,7,1
1,e_e000668,1,1,4,1
3,e_e000668,2,2,1,1
5,e_e000668,3,2,7,1
1,e_e001579,5,2,3,3
1,e_e002195,7,2,3,1
1,e_e003226,2,2,4,1
1,e_e004870,1,2,5,1
2,e_e004870,2,2,2,1
1,e_e004944,1,2,4,1
1,e_e007408,1,1,5,3
1,e_e011214,7,2,3,3
2,e_e013132,10,1,3,1
1,e_e013132,10,2,3,1
3,e_e013132,10,1,3,1
1,e_e013143,1,1,5,1
3,e_e013143,2,2,2,1
2,e_e013143,2,2,1,1
1,e_e013144,1,2,6,1
1,e_e013149,1,1,4,1
1,e_e013179,3,2,7,1
1,e_e013184,7,2,5,1
1,e_e013188,8,1,4,1
1,e_e013282,8,1,4,1
2,f_f000001,2,1,1,1
1,f_f000001,1,1,5,1
2,f_f000004,2,1,1,1
1,f_f000004,1,2,4,1
1,f_f000030,8,1,3,1
1,f_f002508,8,2,3,1
1,f_f009789,8,1,3,1
1,f_f015541,8,1,4,1
1,f_f016471,1,2,5,1
3,f_f016471,2,1,1,1
2,f_f016471,2,2,2,1
1,g_g000003,7,2,4,1
3,g_g000003,7,2,4,1
2,g_g000003,7,2,4,1
2,g_g000004,3,2,6,1
4,g_g000004,4,2,8,3
6,g_g000004,6,2,6,3
1,g_g000004,3,1,7,1
3,g_g000004,5,1,4,1
5,g_g000004,6,1,6,3
1,g_g000009,1,1,5,1
1,g_g000014,3,2,8,1
3,g_g000014,7,2,5,1
2,g_g000014,7,2,5,1
1,g_g000016,8,2,3,1
1,g_g000023,8,1,3,3
1,g_g000025,2,1,1,1
2,g_g000026,2,2,2,1
1,g_g000026,7,2,4,1
3,g_g000026,2,1,1,1
2,g_g000191,5,2,4,1
1,g_g000191,3,2,7,1
1,g_g000195,7,1,3,1
1,g_g000198,8,1,4,1
1,g_g000204,8,1,4,1
1,g_g000208,8,1,4,1
1,g_g000210,8,2,3,1
1,g_g000215,1,1,5,1
1,g_g000220,1,1,4,1
2,g_g000225,3,2,7,1
4,g_g000225,2,2,1,1
1,g_g000225,1,1,4,1
3,g_g000225,2,1,1,1
1,g_g000226,8,2,4,1
1,g_g000231,1,1,4,1
1,g_g000233,7,2,3,2
2,g_g000234,2,1,2,1
1,g_g000234,1,1,5,1
1,g_g000235,1,1,5,1
1,g_g000236,3,2,8,1
2,g_g000237,2,1,1,1
1,g_g000237,2,1,2,1
3,g_g000237,3,1,8,1
1,g_g000240,5,2,5,1
2,g_g000242,2,1,2,1
1,g_g000242,1,1,6,1
3,g_g000242,2,2,2,1
1,g_g000248,1,2,5,1
3,g_g000248,2,2,2,1
2,g_g000248,2,1,2,1
1,g_g000249,1,1,5,1
3,g_g000249,2,1,2,1
2,g_g000249,2,2,2,1
2,g_g000250,2,1,2,1
1,g_g000250,1,1,5,1
3,g_g000250,2,2,2,1
1,g_g000251,1,1,4,1
2,g_g000251,2,1,1,1
1,g_g000252,2,1,1,1
2,g_g000252,2,2,1,1
1,g_g000256,1,1,4,1
2,g_g000258,2,1,1,1
1,g_g000258,1,1,5,1
3,g_g000259,2,2,2,1
2,g_g000259,2,1,2,1
1,g_g000259,1,1,5,1
1,g_g000260,2,1,1,1
1,g_g000264,1,1,5,1
2,g_g000264,2,2,1,1
1,g_g000265,2,1,2,1
3,g_g000265,3,2,8,3
5,g_g000265,5,2,5,3
2,g_g000265,2,2,1,1
4,g_g000265,5,2,5,3
2,g_g000269,2,1,1,1
1,g_g000269,1,2,4,1
3,g_g000269,2,1,1,1
1,g_g000270,1,2,5,1
3,g_g000270,2,2,1,1
2,g_g000270,2,2,2,1
1,g_g000280,1,1,5,1
3,g_g000280,2,1,1,1
2,g_g000280,2,1,1,3
2,g_g000284,6,1,1,1
1,g_g000284,2,2,4,1
3,g_g000284,6,1,1,1
5,g_g000285,7,2,4,2
1,g_g000285,7,2,3,1
3,g_g000285,7,2,3,1
2,g_g000285,7,2,3,1
4,g_g000285,7,2,4,1
2,g_g000287,2,2,1,1
1,g_g000287,1,1,5,1
3,g_g000287,2,1,1,1
1,g_g000290,8,2,4,1
1,g_g000296,8,1,3,3
1,g_g000298,7,1,4,1
2,g_g000298,7,1,4,1
4,g_g000299,2,1,1,1
1,g_g000299,1,1,5,3
3,g_g000299,3,2,7,1
5,g_g000299,2,2,1,1
2,g_g000299,3,1,7,1
1,g_g000301,1,2,3,1
2,g_g000305,2,2,1,1
1,g_g000305,1,1,4,1
3,g_g000305,2,2,1,1
1,g_g000306,1,1,4,1
3,g_g000306,6,2,4,3
2,g_g000306,2,1,1,1
4,g_g000306,6,1,1,3
2,g_g000308,6,2,2,1
4,g_g000308,6,1,5,1
1,g_g000308,3,1,6,1
3,g_g000308,6,2,5,1
2,g_g000309,2,1,2,1
1,g_g000309,1,2,5,1
3,g_g000309,2,2,1,1
1,g_g000311,1,1,5,1
3,g_g000311,2,2,1,1
2,g_g000311,2,1,2,1
2,g_g000312,11,1,5,3
1,g_g000312,11,1,5,2
2,g_g000314,3,1,8,1
1,g_g000314,1,1,5,1
3,g_g000314,3,2,8,1
1,g_g000316,2,2,1,1
1,g_g000318,1,1,6,1
2,g_g000318,2,2,3,1
1,g_g000319,3,2,7,1
2,g_g000320,2,2,1,1
4,g_g000320,2,1,1,1
1,g_g000320,1,2,5,1
3,g_g000320,2,2,1,1
2,g_g000321,1,1,4,1
1,g_g000321,3,1,7,3
2,g_g000322,2,2,1,1
1,g_g000322,2,1,1,1
2,g_g000328,3,2,7,1
1,g_g000328,1,1,5,1
3,g_g000328,2,1,1,1
2,g_g000334,2,1,1,1
1,g_g000334,1,2,4,1
3,g_g000334,2,2,1,1
1,g_g000339,1,1,4,1
1,g_g000341,8,1,3,1
1,g_g000345,7,2,4,3
1,g_g000346,2,2,1,1
4,g_g000348,7,1,3,1
1,g_g000348,7,2,3,1
3,g_g000348,7,1,4,1
5,g_g000348,7,1,3,3
2,g_g000348,7,2,3,3
1,g_g000351,1,2,4,1
2,g_g000354,3,2,8,1
1,g_g000354,3,1,8,1
1,g_g000357,1,2,5,1
1,g_g000361,1,1,5,1
3,g_g000361,2,1,2,1
2,g_g000361,2,1,2,1
1,g_g000365,7,2,4,1
2,g_g000374,2,2,1,1
1,g_g000374,1,1,5,1
1,g_g000378,8,2,3,1
1,g_g000379,1,2,5,1
2,g_g000379,2,2,2,1
2,g_g000380,2,1,2,1
