COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
4,e_e000295,7,1,3,3
6,e_e000295,7,1,3,3
8,e_e000295,7,1,4,3
10,e_e000295,7,2,4,3
12,e_e000295,7,2,4,3
1,e_e000295,7,1,3,3
3,e_e000295,7,1,3,3
5,e_e000295,7,1,3,3
7,e_e000295,7,1,3,3
9,e_e000295,7,1,4,3
11,e_e000295,7,2,4,3
2,e_e000295,7,1,3,3
2,e_e000305,2,2,1,1
1,e_e000305,1,2,4,1
3,e_e000305,2,2,1,1
1,e_e000335,8,1,4,1
2,e_e000365,2,2,2,1
4,e_e000365,7,2,5,3
6,e_e000365,11,1,2,3
1,e_e000365,1,1,5,1
3,e_e000365,2,2,2,1
5,e_e000365,7,1,5,3
1,e_e000401,1,1,5,1
1,e_e000437,1,1,4,1
5,e_e000443,7,2,4,1
2,e_e000443,7,2,4,1
4,e_e000443,7,2,4,1
1,e_e000443,7,2,4,1
3,e_e000443,7,2,4,1
1,e_e000463,1,2,4,1
2,e_e000559,7,1,4,1
4,e_e000559,7,1,4,1
6,e_e000559,7,2,4,1
1,e_e000559,1,1,4,1
3,e_e000559,7,1,4,1
5,e_e000559,7,2,4,1
7,e_e000559,7,2,4,1
1,e_e000574,1,1,4,1
1,e_e000588,8,1,4,1
2,e_e000736,2,1,1,1
1,e_e000736,1,1,5,1
3,e_e000736,2,1,1,1
1,e_e000847,1,1,5,1
3,e_e000847,2,1,1,1
2,e_e000847,2,1,1,1
1,e_e000866,8,1,3,1
1,e_e000867,1,2,4,1
2,e_e000867,2,2,1,1
1,e_e000899,3,1,6,1
2,e_e000899,3,2,6,1
1,e_e000903,8,2,3,1
2,e_e001007,2,2,1,1
1,e_e001007,1,1,5,1
1,e_e001078,1,1,5,1
3,e_e001078,2,2,1,1
2,e_e001078,2,1,1,1
4,e_e001078,2,1,1,1
1,e_e001085,8,1,4,1
2,e_e001112,2,1,2,1
1,e_e001112,1,1,6,1
3,e_e001112,2,2,2,1
1,e_e001122,8,1,4,1
1,e_e001133,1,1,4,1
2,e_e001139,2,1,2,1
1,e_e001139,1,1,5,1
3,e_e001139,2,2,2,1
1,e_e001156,8,1,4,1
1,e_e001161,8,1,4,1
1,e_e001209,8,1,4,1
1,e_e001241,7,1,3,1
3,e_e001241,7,2,3,1
5,e_e001241,7,2,3,3
7,e_e001241,7,2,3,3
2,e_e001241,7,1,3,3
4,e_e001241,7,2,3,1
6,e_e001241,7,2,3,3
8,e_e001241,7,2,3,3
1,e_e001249,7,2,4,3
3,e_e001249,7,2,4,3
2,e_e001249,7,2,4,3
1,e_e001253,9,2,5,1
1,e_e001268,8,1,3,1
1,e_e001272,7,2,3,1
2,e_e001272,7,2,3,3
1,e_e001273,3,2,6,1
1,e_e001283,7,2,4,1
2,e_e001288,5,2,4,1
1,e_e001288,3,2,7,1
3,e_e001288,2,1,1,1
1,e_e001292,5,2,3,1
1,e_e001297,7,1,4,3
1,e_e001315,1,1,5,1
3,e_e001315,2,2,1,1
2,e_e001315,2,2,1,1
1,e_e001343,3,1,7,1
2,e_e001343,3,2,7,1
1,e_e001359,1,1,5,1
3,e_e001359,2,2,2,1
5,e_e001359,7,2,5,1
7,e_e001359,7,1,5,3
9,e_e001359,7,2,2,3
2,e_e001359,2,1,2,1
4,e_e001359,7,1,5,1
6,e_e001359,7,2,2,1
8,e_e001359,7,2,5,3
10,e_e001359,7,2,2,3
1,e_e001367,2,2,1,1
1,e_e001368,8,2,4,1
1,e_e001375,1,2,5,1
1,e_e001398,1,1,4,1
1,e_e001401,5,2,3,1
1,e_e001431,3,1,7,1
3,e_e001431,5,1,4,1
2,e_e001431,3,2,7,1
1,e_e001443,8,1,3,1
1,e_e001481,3,2,6,1
1,e_e001511,8,1,4,1
1,e_e001531,8,1,4,1
1,e_e001954,1,1,6,1
1,e_e002091,8,1,4,1
1,e_e002094,3,2,6,1
2,e_e002129,2,1,1,1
1,e_e002129,1,1,4,1
2,e_e002153,3,2,8,1
1,e_e002153,1,2,5,1
3,e_e002153,2,2,1,1
1,e_e002223,5,2,3,1
1,e_e002261,3,2,6,1
2,e_e002274,2,1,1,1
4,e_e002274,2,2,1,1
1,e_e002274,3,2,7,1
3,e_e002274,2,1,1,1
2,e_e002280,2,2,1,3
1,e_e002280,1,1,5,3
1,e_e002294,1,1,6,1
3,e_e002294,2,2,2,1
2,e_e002294,2,1,2,1
1,e_e002295,8,2,3,1
1,e_e002299,1,1,5,1
3,e_e002299,2,2,1,1
2,e_e002299,2,1,1,1
1,e_e002368,7,2,3,1
1,e_e002369,8,1,4,1
1,e_e002424,1,2,4,1
2,e_e002424,2,1,1,1
2,e_e002430,8,1,3,1
4,e_e002430,7,2,3,1
1,e_e002430,11,1,4,1
3,e_e002430,7,2,3,1
5,e_e002430,11,2,3,1
