TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY,TRAVEL_ID,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_DAYS,MAIN_TRAVEL_MONTH,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RELATION_TYPE
e004720,1,1.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,2인 가족 여행,e_e004720,2023-07-16,2023-07-17,대중교통 등,2,7,강서 둘레길 1코스(개화산 숲길),7,5.0,5.0,5.0,가족
e004720,1,1.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,2인 가족 여행,e_e004720,2023-07-16,2023-07-17,대중교통 등,2,7,롯데몰 김포공항점,4,5.0,5.0,5.0,가족
e000914,1,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,나홀로 여행,e_e000914,2023-06-03,2023-06-04,대중교통 등,2,6,SETEC,8,4.0,4.0,4.0,혼자
e003564,1,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,자녀 동반 여행,e_e003564,2023-06-24,2023-06-25,자가용,2,6,국립과천과학관,3,5.0,4.0,5.0,가족
e003564,1,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,자녀 동반 여행,e_e003564,2023-06-24,2023-06-25,자가용,2,6,국립과천과학관,3,5.0,4.0,5.0,가족
e003564,1,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,자녀 동반 여행,e_e003564,2023-06-24,2023-06-25,자가용,2,6,국립과천과학관,3,5.0,4.0,5.0,가족
e000396,1,0.25,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,2인 가족 여행,e_e000396,2023-05-20,2023-05-22,자가용,3,5,영종 씨사이드 레일바이크,5,4.0,3.0,3.0,가족
e000396,1,0.25,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,2인 가족 여행,e_e000396,2023-05-20,2023-05-22,자가용,3,5,파라다이스 시티 원더 박스,6,4.0,4.0,4.0,가족
e001890,0,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),e_e001890,2023-06-10,2023-06-11,대중교통 등,2,6,창룡문,2,4.0,4.0,4.0,친구
e001890,0,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),e_e001890,2023-06-10,2023-06-11,대중교통 등,2,6,화성행궁 광장,4,4.0,3.0,3.0,친구
