TRAVELER_ID,AVG_VISIT_PER_TRIP_TYPE_1,AVG_VISIT_PER_TRIP_TYPE_2,AVG_VISIT_PER_TRIP_TYPE_3,AVG_VISIT_PER_TRIP_TYPE_4,AVG_VISIT_PER_TRIP_TYPE_5,AVG_VISIT_PER_TRIP_TYPE_6,AVG_VISIT_PER_TRIP_TYPE_7,AVG_VISIT_PER_TRIP_TYPE_8,AVG_VISIT_PER_TRIP_TYPE_9,AVG_VISIT_PER_TRIP_TYPE_10,AVG_VISIT_PER_TRIP_TYPE_11,AVG_VISIT_PER_TRIP_TYPE_12,AVG_VISIT_PER_TRIP_TYPE_13,AVG_DGSTFN_TYPE_1,AVG_DGSTFN_TYPE_2,AVG_DGSTFN_TYPE_3,AVG_DGSTFN_TYPE_4,AVG_DGSTFN_TYPE_5,AVG_DGSTFN_TYPE_6,AVG_DGSTFN_TYPE_7,AVG_DGSTFN_TYPE_8,AVG_DGSTFN_TYPE_9,AVG_DGSTFN_TYPE_10,AVG_DGSTFN_TYPE_11,AVG_DGSTFN_TYPE_12,AVG_DGSTFN_TYPE_13,cluster
e000191,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0,0.0,0.8351759894507764,0.8232749521197875,0.8386003127792672,0.75,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.75,0.5,0.7822946859903381,0.8501640419947505,3
e000668,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8351759894507764,0.8232749521197875,0.8386003127792672,1.0,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.8010574567447557,0.822762069010476,1.0,0.8501640419947505,5
e001033,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.8351759894507764,1.0,0.8386003127792672,1.0,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.8010574567447557,1.0,0.7822946859903381,1.0,2
e001240,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.8351759894507764,0.8232749521197875,0.8386003127792672,0.75,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.75,0.7853258995906054,0.8010574567447557,0.75,0.7822946859903381,0.8501640419947505,5
e001423,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8351759894507764,0.75,0.8386003127792672,0.75,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.8010574567447557,0.822762069010476,0.7822946859903381,0.8501640419947505,5
e002195,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.0,0.0,0.8351759894507764,1.0,0.8386003127792672,0.7901377551020408,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,1.0,0.8010574567447557,0.875,0.7822946859903381,0.8501640419947505,0
e003226,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.375,0.0,0.0,1.0,1.0,0.8386003127792672,0.75,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,1.0,0.8010574567447557,0.9166666666666669,0.7822946859903381,0.8501640419947505,5
e004870,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.8351759894507764,0.75,0.8386003127792672,0.7901377551020408,0.8488984674329503,0.8214594127806563,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.8010574567447557,0.75,0.7822946859903381,0.75,2
e004944,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.8351759894507764,0.8232749521197875,0.8386003127792672,0.75,0.8488984674329503,0.8214594127806563,0.75,0.8043020457280385,0.7853258995906054,0.8010574567447557,0.875,0.7822946859903381,0.8501640419947505,1
e007408,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.75,0.8232749521197875,0.8386003127792672,0.7901377551020408,0.8488984674329503,1.0,0.8132617306520413,0.8043020457280385,0.7853258995906054,0.8010574567447557,0.75,0.7822946859903381,0.8501640419947505,4
