VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,VISIT_START_YMD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
2304300002,e_e000004,화성 관광열차 안내소 연무대 매표소,2023-04-30,4.0,3.0,4.0
2304300003,e_e000004,창룡문,2023-04-30,4.0,4.0,4.0
2304300004,e_e000004,수원 화성 화홍문,2023-04-30,4.0,3.0,3.0
2304300002,e_e000006,청량리역 경춘선,2023-04-30,5.0,5.0,5.0
2304300003,e_e000006,청평역 경춘선,2023-04-30,5.0,5.0,5.0
2304300004,e_e000006,경춘선 자전거길,2023-04-30,5.0,5.0,5.0
2304300005,e_e000006,베이커리 시어터,2023-04-30,4.0,4.0,4.0
2304300006,e_e000006,백암천,2023-04-30,5.0,5.0,5.0
2304300007,e_e000006,자시오 잣 주꾸미,2023-04-30,4.0,4.0,4.0
2305010001,e_e000006,마석역 경춘선,2023-05-01,5.0,5.0,5.0
2305010002,e_e000006,청량리역,2023-05-01,5.0,5.0,5.0
2304290002,e_e000009,농협안성팜랜드,2023-04-29,4.0,4.0,4.0
2304290003,e_e000009,스타필드 안성,2023-04-29,5.0,5.0,5.0
2304290004,e_e000009,대동국수 평택역점,2023-04-29,5.0,5.0,5.0
2304290005,e_e000009,편지,2023-04-29,5.0,5.0,5.0
2304300001,e_e000009,평택 초등학교,2023-04-30,5.0,5.0,5.0
2304300002,e_e000009,샤오바오 고덕점,2023-04-30,5.0,5.0,5.0
2304300003,e_e000009,평택시 농업 생태원,2023-04-30,5.0,5.0,5.0
2304300004,e_e000009,평택시 로컬푸드 재단,2023-04-30,5.0,5.0,5.0
2304300005,e_e000009,시흥 하늘휴게소 양방향,2023-04-30,5.0,5.0,5.0
2304290003,e_e000010,서울 남부터미널,2023-04-29,4.0,5.0,3.0
2304290004,e_e000010,롯데리아 남부터미널점,2023-04-29,4.0,4.0,3.0
2304290005,e_e000010,다이소 남부터미널점,2023-04-29,4.0,3.0,3.0
2304290006,e_e000010,충무아트센터 대극장,2023-04-29,4.0,4.0,4.0
2304290007,e_e000010,스탠더드 커피,2023-04-29,5.0,5.0,5.0
2304290008,e_e000010,연신내 칼국수,2023-04-29,4.0,4.0,4.0
2304290009,e_e000010,독립문,2023-04-29,4.0,3.0,4.0
2304300001,e_e000010,롯데월드 샤롯데씨어터,2023-04-30,5.0,5.0,5.0
2304300002,e_e000010,미사리밀빛초계국수 롯데월드점,2023-04-30,5.0,5.0,5.0
2304300003,e_e000010,롯데월드 샤롯데씨어터,2023-04-30,5.0,5.0,5.0
2304300004,e_e000010,서울고속버스터미널(경부),2023-04-30,4.0,3.0,3.0
2304280002,e_e000011,서울역 1호선,2023-04-28,4.0,5.0,5.0
2304290001,e_e000011,인사동 문화의 거리,2023-04-29,5.0,5.0,5.0
2304290004,e_e000011,IFC 몰,2023-04-29,4.0,4.0,4.0
2304290005,e_e000011,교대 이층집 여의도점,2023-04-29,4.0,4.0,4.0
2304300001,e_e000011,"서울랜드, 국립현대미술관",2023-04-30,5.0,5.0,5.0
2304300002,e_e000011,동원 홈 푸드라운지 국립 현대미술관점,2023-04-30,4.0,4.0,4.0
2304300003,e_e000011,광명역,2023-04-30,4.0,4.0,4.0
2304300004,e_e000011,삼진 어묵 부산역 광장점,2023-04-30,4.0,4.0,4.0
2304280002,e_e000013,정안 알밤 휴게소 천안 방향,2023-04-28,5.0,5.0,5.0
2304280003,e_e000013,파주 프리미엄 아울렛,2023-04-28,5.0,5.0,5.0
