travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e000004,"['집', '화성 관광열차 안내소 연무대 매표소', '창룡문', '수원 화성 화홍문', '집']",4.0,3.3333333,3.6666667,2023-04-30,2023-04-30,1
e_e000006,"['집', '청량리역 경춘선', '청평역 경춘선', '경춘선 자전거길', '베이커리 시어터', '백암천', '자시오 잣 주꾸미', '신창현 풍림아이원 1차 아파트', '마석역 경춘선', '청량리역', '집']",4.75,4.75,4.75,2023-04-30,2023-05-01,2
e_e000009,"['친구 친지 집', '농협안성팜랜드', '스타필드 안성', '대동국수 평택역점', '편지', '호텔 프라하', '평택 초등학교', '샤오바오 고덕점', '평택시 농업 생태원', '평택시 로컬푸드 재단', '시흥 하늘휴게소 양방향', '영남아파트']",4.5,4.5,4.5,2023-04-29,2023-04-30,2
e_e000010,"['집', '진주 시외버스터미널', '서울 남부터미널', '롯데리아 남부터미널점', '다이소 남부터미널점', '충무아트센터 대극장', '스탠더드 커피', '연신내 칼국수', '독립문', '친구 집', '롯데월드 샤롯데씨어터', '미사리밀빛초계국수 롯데월드점', '롯데월드 샤롯데씨어터', '서울고속버스터미널(경부)', '집']",4.25,4.25,3.9166667,2023-04-29,2023-04-30,2
e_e000011,"['사무실', '서울역 1호선', '삼환아파트', '인사동 문화의 거리', '꽃밥에 피다', '후후 라운지', 'IFC 몰', '교대 이층집 여의도점', '삼환아파트', '서울랜드, 국립현대미술관', '동원 홈 푸드라운지 국립 현대미술관점', '광명역', '삼진 어묵 부산역 광장점', '김해 율하시티프라디움아파트']",3.9,3.7,3.8,2023-04-28,2023-04-30,3
e_e000013,"['집', '정안 알밤 휴게소 천안 방향', '파주 프리미엄 아울렛', '이마트 파주점', '해브펀 캠핑 어라운드', '이케아 광명점', '지중해마을', '집']",4.6666665,4.3333335,4.3333335,2023-04-28,2023-04-29,2
e_e000014,"['집', '에버랜드', '집']",5.0,5.0,5.0,2023-05-01,2023-05-01,1
e_e000015,"['집', '스타필드 코엑스몰', '본가', '정안 알밤 휴게소 천안 방향', '전주 고속버스터미널', '아차산 김가네 맛집', '서울어린이대공원', '스타벅스 아차산역', '본가', '명륜 진사갈비 서울 중곡점', '에인절 코인 노래연습장 건대점', '코지에 FunCity', '엑스 클라임 건대점', '아웃 닭 건대점', '서피 동파', '에코 코인 노래연습장', '본가', '집', '합정옥', '동양 방앗간', '북촌 한옥마을', '낙원악기상가', '본가', '센트럴시티터미널(호남)']",3.8888888,3.3333333,3.5,2023-04-28,2023-05-01,4
e_e000016,"['집', '현대 프리미엄 아울렛 김포점', '롯데몰 김포공항점', '집']",4.0,4.0,4.0,2023-04-29,2023-04-29,1
e_e000018,"['친구 친지 집', '해솔마을 7단지 롯데캐슬 아파트', '미소야 일산 화정점', '고양어린이 박물관']",5.0,5.0,5.0,2023-04-29,2023-04-29,1
e_e000020,"['집', '본가신숙희 진골막국수', '아침고요 수목원', '나무 아래 오후 N', '파르티아 워터하우스', '가평군 농협 하나로마트 설악점', '파르티아 워터하우스', '연청 국장', '가평 양떼목장', '윤명로', '카페 아우라', '화도 졸음쉼터 양양 방향', '집']",4.3636365,3.8181818,4.181818,2023-04-29,2023-04-30,2
e_e000021,"['집', '남도 사골 순댓국 본점', '스타벅스 화성 남양 DT점', '호텔 헤르메스', '마시다 초밥 이자카야', '준코인 노래연습장', '호텔 헤르메스', '현대자동차 남양기술연구소 후문', '서울역', '머슴 고기 화성 시청 본점', '티 카페 차희', '남양성모성지', '현대자동차 남양기술연구소 후문', '수원역', '용산역', '집']",4.071429,4.0,4.0,2023-04-29,2023-04-30,2
e_e000022,"['집', '향유 갈비', '허브아일랜드', '소요산', '집']",4.3333335,4.3333335,4.3333335,2023-04-29,2023-04-29,1
e_e000023,"['집', '서울 시티투어버스', '나주 소 나주곰탕 경복궁점', '광화문광장', '스타벅스 광화문점', '경복궁', '집']",4.2,3.8,3.8,2023-04-29,2023-04-29,1
e_e000025,"['집', '집', '꼬꼬 오리주물럭', '캐널시티', '포지티브 스페이스 566']",4.0,3.0,3.6666667,2023-04-30,2023-04-30,1
e_e000030,"['집', '용산역', '가평역 경춘선', '하색리', '집']",5.0,5.0,5.0,2023-04-29,2023-04-29,1
e_e000037,"['친구 친지 집', '강촌 아파트', '오서방네 조개찜', '카페 가우디']",5.0,5.0,5.0,2023-04-30,2023-04-30,1
e_e000038,"['사무실', '가인', '동백정 팔탄점', '호텔 더 메이', '강촌 아파트', '월문온천', '한우 강국', '더 포레 베이커리', '모던하우스 용산 아이파크몰점']",4.857143,4.714286,4.714286,2023-04-28,2023-04-29,2
e_e000039,"['집', '집', 'SK엔크린 서울 하이패스센터 LPG 충전소', '에버랜드 매표소', '에버랜드 판다월드', '에버랜드 사파리월드', '에버랜드 T 익스프레스', '에버랜드 장미원', '포메인 에버랜드 직영점']",4.571429,4.428571,4.571429,2023-04-29,2023-04-29,1
e_e000040,"['사무실', '드림하우스', '드림하우스', '형제 네 생소금 구이', '서울로 717', '효자손 왕만두', '숭례문', '드림하우스', '폴 바셋 서소문점']",4.2,3.2,3.4,2023-04-28,2023-04-29,2
e_e000041,"['사무실', '경기도 안산시 단원구 고잔동 528-108', '영돈', '네이처 빌', '양평 해장국 수원 본점 주차장', '커피에 반하다 수원 시청역점', '장안 면옥', '유토피아추모관', '엄니 토종 추어탕 본점', '쌍용 폐기 닭 본점', '곡반정동', '해장촌', '바리고 빈스', '화성 융릉과 건릉', '떡 잘 곡반정점', 'DMC 파크뷰 자이 1단지 아파트']",4.6666665,4.6666665,4.6666665,2023-04-28,2023-04-30,3
e_e000042,"['집', '집', '삼목선착장', '휠 프렌즈', '이소리라 식당', '수기 해변', '신도항(옹진)', '예단포둘레길']",4.1666665,4.0,4.0,2023-05-01,2023-05-01,1
e_e000045,"['사무실', '장흥농협 하나로마트 송추점', '대궐 캠핑 글램핑 펜션', '대궐 캠핑 글램핑 펜션', '대궐 산장식당', '마장호수', '로마 부동산']",4.0,3.8,3.8,2023-04-29,2023-04-30,2
e_e000046,"['집', '집', '시흥 센트럴 푸르지오 아파트', '푸른 솔 GC 포천']",4.5,4.5,4.5,2023-04-28,2023-04-28,1
e_e000293,"['집', '천안 고속버스터미널', '서울고속버스터미널(경부)', '혜화역 4호선', '링크 아트센터', '일미리 금계 찜닭 대학로점', '예스24 스테이지', '혜화역 4호선', '서울고속버스터미널(경부)', '천안 고속버스터미널', '집']",4.111111,4.888889,3.6666667,2023-05-28,2023-05-28,1
