travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e000003,"['집', '안성휴게소 부산방향', '금강휴게소', '김천종합운동장', '입장 거봉포도 휴게소 서울 방향', '집']",4.25,4.25,4.25,2023-04-30,2023-04-30,1
e_e000340,"['집', '자유 궁', '포천 자연마을 서울 캠핑장', '고석정 국민관광지', '포천 자연마을 서울 캠핑장', '한탄강 하늘다리', '포천 봄꽃 정원', '관인 약수터 막국수', '포천 자연마을 서울 캠핑장', '화적연', '비둘기낭폭포', '포천 자연마을 서울 캠핑장', '백교', '포천시 이동면 장암리 613-1 하천', '향유 갈비', '집']",4.714286,4.714286,4.714286,2023-05-27,2023-05-29,3
e_e000515,"['집', '문경휴게소 창원방향', '여항산 제일 간 장', '별천계곡', '여항산 호수길', '여항산 제일 간 장', '무진장', '식목일', '하마스 빅버거', '광암해수욕장', '주도 횟집', '여항산 제일 간장', '집']",3.625,3.75,3.875,2023-06-03,2023-06-06,4
e_e000571,"['집', '소이산 모노레일 철원역', '고석정 꽃밭', '상하이', '카페 마들렌', '엠앤 러키 호텔', '김해국제공항 국내선 청사', '익선동 한옥거리', '이비스 스타일 앰배서더 명동', '이비스 스타일 앰배서더 명동', '이누스 강남 직영점', '앰배서더 서울 풀만 더 라운지 앤 바', '스미 로우', '집', '서울역', '천주교 서울 대교구 주교좌 명동 대성당']",4.5,4.428571,4.428571,2023-05-24,2023-05-26,3
e_e000601,"['집', '바비치 성서점', '성서 동서 화성타운 아파트', '대구 성서운동장', '성서 동서 화성타운 아파트', '와룡산', '성서 동서 화성타운 아파트', '바라던 바다 대게 새우', '금호 꽃섬', '성서 동서 화성타운 아파트', '이곳 장미공원', '설빙 대구 성서점', '풍년 구생 막창 본점', '성서 동서 화성타운 아파트', '대구근대골목 단팥빵 대구역점', '집']",4.7777777,4.5555553,4.4444447,2023-05-26,2023-05-29,4
e_e000654,"['친구 친지 집', '가평휴게소 춘천 방향', '가리산 레포츠파크', '한마음 정육 식당 강원 홍천점', '가평휴게소 서울 방향', '친구 집']",4.75,4.25,4.25,2023-05-20,2023-05-20,1
e_e001062,"['집', '필로 티스 펜션', '시화 나래 휴게소', '필로 티스 펜션', '백년손님', '러키 할인마트 대부점', '필로 티스 펜션', '러키 할인마트 대부점', '대부도 맛집 풍경', '라라랜드', '정안 알밤 휴게소 논산 방향', '관촌 휴게소 순천방향 주차장', '화개 장터', '와바 모텔', '노산공원', '재건냉면', '함양휴게소 대전방향', '덕유산 휴게소 대전방향', '고가네 칼국수', '집']",4.7222223,4.611111,4.611111,2023-05-27,2023-05-29,3
e_e004690,"['집', '스타벅스 리버사이드대성리DT점', '텐파크', '에그하우스', '라멘 선생 수제돈가스', '가평 잣 고을시장', '에그하우스', '용추계곡', '공원 막국수', '더 플래츠', '숨', '동두천 관광특구', '롯데 프리미엄 아울렛 파주점', '네이처 스파', '더티 트렁크', '이마트 파주 운정점', '미키 주유소', '집']",3.6875,3.1875,3.25,2023-07-28,2023-07-30,3
e_e004785,"['집', '아롬 스파 펜션', '용산역', '청평역 경춘선', '르푸앵 수상 레저', '가평역 경춘선', '남이섬 웰빙 닭갈비 막국수', '세븐일레븐 남이섬점', '가평역 경춘선', '쏘카 가평역', '엄마네 칼국수', '개화당 본점', '제이드가든 수목원', '가평군 농협 하나로마트 본점', 'GS25 가평 가화로 점', '명지산 주유소', '또바기 스파 글램핑', '우렁이 쌈밥', '남이섬 가평 선착장', '남이섬', '스윙 카페 베이커리', '남이섬 바이크 센터', '소나타 카페', '카페 느리게 걷기', '자라섬', '남이섬 풍경 닭갈비', '가평역 경춘선', '집']",4.423077,4.1923075,4.230769,2023-07-10,2023-07-12,3
e_e006945,"['집', '제 따오나 선원', '풍물 옹심이 칼국수', '국립춘천 박물관', '집']",4.6666665,4.6666665,5.0,2023-08-20,2023-08-20,1
e_e008914,"['집', '인창 6단지 주공아파트', '집', '드름산']",3.0,3.0,4.0,2023-08-27,2023-08-27,1
f_f000007,"['친구 친지 집', 'W 웨딩', '해돈촌 돼지국밥', '딥플로우 브루잉', '시고 조개구이', '비치그린아파트', 'GS 더 프레시 경성 부경대점', '구자운 과자점 교대점', '회동수원지', '범어사', '한터 빌', '방어진항 남 방파제', '월드 스카이파크 아파트', '슬도', '대왕암공원 출렁다리', '훈스짐', '서부 성원상떼빌 아파트', '일산해수욕장', '월드 스카이파크 아파트']",4.4666667,4.133333,4.133333,2023-04-29,2023-05-01,3
f_f000012,"['친구 친지 집', '하이 오션 경포', '횡성휴게소 강릉방향', '평창휴게소 강릉방향', '차연희 순두부 청국장', '롱 블랙', '하이 오션 경포', '오봉이 해물칼국수', '경포해수욕장', '하이 오션 경포', '남경 막국수', '소 돌아들 바위', '강냉이 소쿠리', '순두부 젤라또 3호점', '초당 커피 정미소', '메밀에 감자', '주문진 방사제', '카페 콥스', '호반베르디움 센트럴 포레 아파트', '수제어묵 크로켓', '이와 국수 1호점', '에이엔 브레드', '마시와 고속 터미널점', '문막휴게소 서창방향']",3.9545455,3.7727273,3.7727273,2023-04-30,2023-05-02,3
f_f000014,"['집', '집', '을지로 입구역 2호선', '구리휴게소 일산방향', '철원 한탄강 주상절리길 드르니 매표소', '철원 한탄강 주상절리길 순담 매표소', '기와집', '고석정', '포천아트밸리', '프롬 스톤', '의정부 휴게소 구리방향', '명동거리', '을지로 입구역 2호선', '신원 다 마을', '원당역 3호선', '송이네', '이마트 에브리데이 신원 당적']",4.4666667,4.6,4.3333335,2023-04-29,2023-04-29,1
f_f000015,"['집', '오창휴게소 하남방향', 'MRNW', '하중도 유채꽃 단지', '뱀부 가든', '하북 농협 하나로마트', 'BN888 펜션', '시례 정가든', '영남알프스 얼음골 케이블카 매표소', '천황산', '재약산', '언양 전통 불고기', '집']",4.2727275,3.909091,4.4545455,2023-04-30,2023-05-01,2
f_f000019,"['집', '부산광역시 금정구 선동', '버릇 식당', '회동수원지', '선 유도원', '홍법사', '직구나 담양 석갈비촌', '스포 원 파크 금정체육공원', '집']",4.6666665,4.6666665,4.6666665,2023-04-30,2023-05-01,2
f_f000021,"['집', '오색온천장', '화양강 휴게소', '백담사', '이모네 집', '오색온천장', '이모네 집', '오색약수', '몽', '오색 탄산온천', '약수 식당', '집', '초당 할머니순두부', '칠보산 휴게소', '만 서리지가 네 막국수']",5.0,5.0,5.0,2023-04-28,2023-04-30,3
f_f000022,"['집', '철마 연밥', '아홉 살 숲', '다락', '부모님댁', '대왕암공원', '진미 초장집', '롯데 프리미엄 아울렛 동부산점', '집']",4.0,4.0,4.0,2023-04-30,2023-05-01,2
f_f000023,"['집', '집', '코스트코 부산점', '시스 디자인 부산 센텀', '카페 오후의 홍차']",1.6666666,4.3333335,4.3333335,2023-04-29,2023-04-29,1
f_f000026,"['집', '판교역 광장', '마루 정원 제빵소', '세이지힐', '학곡사거리 닭갈비 막국수', '춘천 세계 주류 마켓', '세이지힐', '집']",4.0,3.8333333,4.0,2023-04-28,2023-04-30,3
f_f000028,"['집', '데이즈 힐', '양평 휴게 주유소 원주 방향', '솔봉 갈비', '대관령', '청기와', '강릉커피 박물관', '더 제니스 호텔', '집']",4.857143,4.714286,4.714286,2023-04-29,2023-05-01,3
f_f000029,"['집', '부모님댁', '좋은 아침 베이커리', '감자바위', '오란다 상점', '고래 책방', '경양 식당', '친지 집', '소꿉놀이', '친지 집', '집']",4.8333335,4.5,4.3333335,2023-04-28,2023-05-01,4
f_f000031,"['집', '체스터 톤스 속초', '내린천 휴게소 양양 방향', '체스터 톤스 속초', '갈풍집 속초점', '청초 호수공원', 'CU 속초 청초호점', '명품 고기랑 조개랑', '청초수물회', '개 배 선착장', '달고 나 뽑기 체험장', 'CU 강릉 소금강 삼거리점', '소금강계곡', '흑돈 연가', '친척 집 방문', '좋은 아침', '집']",4.357143,4.071429,3.857143,2023-04-29,2023-05-01,3
f_f000032,"['집', '경기 광주 휴게소 원주 방향', '유명 순댓국', '피닉스 평창', '피닉스 평창 볼링센터', '피닉스 평창 유로 빌라', '피닉스 드러그 스토어', '피닉스 평창 온도', '피닉스 평창 블루캐니언', '피닉스 평창 유로 빌라', '피닉스 평창 온도', '피닉스 평창 키즈플레이 라운지', '피닉스 평창 곤돌라', '구리휴게소 일산방향', '집']",3.9230769,3.8461537,3.7692308,2023-04-28,2023-04-30,3
f_f000034,"['집', '비와 별 닭갈비 소양강점', '카페 감자밭 본점', '소양강 처녀상', '집']",5.0,5.0,5.0,2023-04-29,2023-04-29,1
f_f000039,"['집', '비발디파크 오션월드', '소노벨 비발디파크', '소노벨 비발디파크', '양지말 화로구이', '온 더 가든', '알파카 월드', '남산농협 하나로마트 광판점', '소노벨 비발디파크', '온 더 가든', '김유정역 경춘선', '의암호 스카이워크', '춘천 삼악산 호수 케이블카', '집']",4.6666665,4.6666665,4.6666665,2023-05-01,2023-05-03,3
f_f000044,"['집', '해운대 할미 집', '문 토스트', '황령산 봉수대', '더블에이치 서스펜션', '버튼 호텔 남포점', '세정', '버튼 호텔 남포점', '희야네 황태 국밥', '더블에이치 서스펜션', '자택']",4.0,3.7777777,3.8888888,2023-04-28,2023-04-29,2
f_f000264,"['친구 친지 집', '대경 식당', '명주 정원', '함창 명주 테마파크', '상주 우산 캠핑장', '루안', '친구 집']",5.0,5.0,5.0,2023-05-20,2023-05-21,2
f_f000265,"['집', '악양 생태공원', '무진장', '집']",3.0,3.0,3.5,2023-05-27,2023-05-27,1
f_f000268,"['사무실', 'GS칼텍스 경향 주유소', '문막휴게소 강릉방향', '호산 빵집', '쏠비치 삼척', '굿앤 구스 쏠비치 삼척 점', '쏠비치 삼척 뜰인 더 그릴', '쏠비치 삼척', '쏠비치 삼척', '쏠비치 삼척 해파리', '도째비골스카이밸리', '친지 집', '집']",4.1,4.3,4.3,2023-05-20,2023-05-21,2
f_f000269,"['집', '강촌 W 펜션', '김유정역 (폐역)', '김유정문학촌', '광판 팔뚝 김밥 김유정역점', '브이 스페이스', '금병산 약초', '봄내길 1코스', '육림 고개', '춘천역 관광안내소', '명동 닭갈비 골목', '컬처 스페이스', '유미 닭갈비', '춘천 낭만시장', '춘천 중도 물레길', '강촌 W 펜션', '가마솥', '금병산 약초', '집']",3.2941177,3.2941177,3.2941177,2023-06-03,2023-06-05,3
f_f000272,"['집', '서울역', '부산역', '부산역 영동 밀면', '부산 시립미술관', '센텀 스위트호텔', '융캉찌에', '밀란 더 마켓', '광안리해수욕장', '스시 맛이 우 센텀점', '센텀 스위트 호텔', '광안리해수욕장', '수변 최고 돼지국밥', '용두산공원', '광복로 패션거리', '부산 근현대 역사관 별관', '보수동 책방 골목', '부평 깡통시장', 'BIFF 거리', '센텀 스위트호텔', '송정 해녀 집', '코랄 라느니', '에지 993', '해동용궁사', '해운대해수욕장', '센텀 스위트호텔', '광안리해수욕장', '히얼이자 커피', '김해국제공항', '집']",4.5,4.428571,4.428571,2023-05-20,2023-05-23,4
f_f000273,"['집', '대왕암공원', '대왕암공원 오토캠핑장', '일산해수욕장', '장생포 고래 박물관', '미소 지은', '장생포 고래문화마을', '집']",5.0,5.0,5.0,2023-06-03,2023-06-04,2
f_f000274,"['집', '섬진강휴게소 부산방향', '카페톨', '다랭이마을', '헐스 밴드', '장항 해수풀장', '상주은모래비치', '설리해수욕장', '초록 스토어', '수어 메밀짜장', '온 뷰 모텔', '온 뷰 모텔', '미조 돈가스 김밥', '플랫 포트', '인산인해', '힙한 식', '옐로우츄도넛', '집']",3.5625,3.125,3.375,2023-05-27,2023-05-28,2
