travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e000295,"['트레이더스 홀세일 클럽 안산점', '백령 할인마트', '아침 풍경펜션']",5.0,3.6666667,5.0,2023-06-03,2023-06-03,1
e_e000305,"['국립 무의도 자연휴양림', '선녀풍', '거해 짬뽕 순두부', '국립 무의도 자연휴양림', '메이 드림', '가마솥 닭 한 마리 북가좌동 직영점']",4.0,3.8333333,3.8333333,2023-06-09,2023-06-10,2
e_e000335,"['타임 테라스 A 블록', '인딕슬로우 송리단길점', '워디 아더', '스타필드 코엑스몰', '탑 플레이스 PC방 신천점', '잠실종합운동장']",4.8333335,4.8333335,4.6666665,2023-06-17,2023-06-17,1
e_e000365,"['대이작도 마린 스포츠', '대이작도 마린 스포츠', '소이작도 부근 배 낚시터', '캔 아버니 카페 편의점', '바지락 체험어장', '대이작 마린 스포츠', '대이작도 해안탐방로']",4.428571,4.285714,4.571429,2023-05-27,2023-05-29,3
e_e000401,"['황해 짬뽕집', '이성당 본점', '홍성휴게소 서울 방향', '시흥 프리미엄 아울렛', '블룸 비스타', '들꽃', '블룸 비스타', '노다지 장어', '현대그린푸드 현대 블룸 비스타지점', '스타필드 하남']",4.2,3.9,4.0,2023-05-27,2023-05-29,3
e_e000437,"['선녀풍 2호점', '선녀바위', '카페 림', '을왕리 해수욕장']",4.25,3.25,3.5,2023-06-04,2023-06-04,1
e_e000443,"['삼목선착장', '삼목항(장봉,신도)', '장봉도 공룡 침식 동굴', '장봉도', '가막머리 낙조', '0415카페', '장봉한', '삼목선착장', '나루터 식당']",5.0,5.0,5.0,2023-06-03,2023-06-03,1
e_e000463,"['VIP 동물의료센터 서초점', 'GS25 경춘 대성점', '청평 그린 충전소', '가평 밤나무 숲 캠핑장', '가평 잣 고을시장', '지방도 제391호선', '고거산 족발보쌈', '새와 참새']",4.125,3.5,3.5,2023-06-04,2023-06-05,2
e_e000506,"['롯데마트 금천점', '노을캠핑장', '중화요리 금성', '전등사', '초지진', '로컬까회', '대명항 수산물 직판장', '김포함상공원']",4.0,4.0,4.0,2023-06-02,2023-06-03,2
e_e000559,"['방아머리 선착장', '대부', '해물 천국', '농업회 사법인 호박 회관', '박지름 해변', '덕적도항', '방아머리 선착장', '홍가네 감자탕 본점']",4.25,4.125,4.125,2023-05-27,2023-05-28,2
e_e000574,"['전등사', '마리 하우스펜션', '대한 성공회 강화성당', '뉴욕뉴욕']",4.25,3.75,3.75,2023-06-02,2023-06-03,2
e_e000580,"['어둠 속의 대화', '놀러와', '감동 칩스 북촌 본점', '백 년 토종삼계탕 북촌점', '경복궁', '배스킨라빈스 삼청 마당점', '솔트 24', '설화수의 집 북촌']",4.125,4.0,3.875,2023-06-10,2023-06-10,1
e_e000588,"['HB 엘림 캐슬 오피스텔', '강화풍물시장', '조양 방직', '황토 장인 만찬 강화도 본점', '채플 갤러리', '한옥카페 갤러리도 솔', '화랑 농장', '킴스클럽 부평점', '워크업커피 부평점']",4.2222223,3.5555556,3.8888888,2023-05-28,2023-05-29,2
e_e000632,"['덕수궁', '왕성 식당', '남대문시장']",4.0,3.3333333,3.6666667,2023-06-03,2023-06-03,1
e_e000697,"['인천항 연안 부두', '진리도 우 선착장', 'CU 덕적도점', '바다 반점', 'CU 덕적도점', '목섬 펜션', '뻘짬뽕', '진리도 우 선착장', '인천항 연안 부두']",5.0,4.888889,5.0,2023-06-04,2023-06-06,3
