VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,VISIT_START_YMD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
2304290002,e_e000005,아주 매운 공주 칼국수 주꾸미구이 신탄진점,2023-04-29,5.0,5.0,5.0
2304290003,e_e000005,청주 휴게소 서울 방향,2023-04-29,5.0,5.0,5.0
2304290004,e_e000005,갤럭시호텔,2023-04-29,5.0,5.0,5.0
2304290005,e_e000005,월미도,2023-04-29,5.0,5.0,5.0
2304290006,e_e000005,월미테마파크,2023-04-29,5.0,5.0,5.0
2304290007,e_e000005,어반 정원,2023-04-29,5.0,5.0,5.0
2304290008,e_e000005,갤럭시호텔,2023-04-29,5.0,5.0,5.0
2304300001,e_e000005,월미도 가락국수 월미도점,2023-04-30,5.0,5.0,5.0
2304300002,e_e000005,개항e지 투어,2023-04-30,5.0,5.0,5.0
2304300003,e_e000005,인천 맥주,2023-04-30,5.0,5.0,5.0
2304300004,e_e000005,도래순,2023-04-30,5.0,5.0,5.0
2304300005,e_e000005,호텔 스카이파크 인천 송도,2023-04-30,5.0,5.0,5.0
2304300006,e_e000005,호텔 스카이파크 인천 송도,2023-04-30,5.0,5.0,5.0
2304300007,e_e000005,송도센트럴파크 이스트보트하우스,2023-04-30,5.0,5.0,5.0
2305010001,e_e000005,더 위크 앤리조트 워터파크,2023-05-01,5.0,5.0,5.0
2305010002,e_e000005,더 위크앤 리조트,2023-05-01,5.0,5.0,5.0
2305010003,e_e000005,을왕리 해수욕장,2023-05-01,5.0,5.0,5.0
2305010004,e_e000005,호남 횟집,2023-05-01,5.0,5.0,5.0
2305010005,e_e000005,더 위크앤 리조트,2023-05-01,5.0,5.0,5.0
2305020001,e_e000005,경복궁 삼계탕 인천 송도점,2023-05-02,5.0,5.0,5.0
2305020002,e_e000005,G 타워,2023-05-02,5.0,5.0,5.0
2304280003,e_e000043,국립세종수목원,2023-04-28,5.0,5.0,5.0
2304280004,e_e000043,팽쇼 과자점,2023-04-28,5.0,5.0,5.0
2304280006,e_e000043,국립세종 도서관,2023-04-28,5.0,5.0,5.0
2304280007,e_e000043,정부세종청사 체육관,2023-04-28,5.0,5.0,5.0
2304290001,e_e000043,평택호 예술공원 평택호 예술관,2023-04-29,5.0,5.0,5.0
2304290002,e_e000043,메인스트리트,2023-04-29,5.0,5.0,5.0
2304290003,e_e000043,소풍 정원,2023-04-29,5.0,5.0,5.0
2304300001,e_e000043,미스진 햄버거 송탄 본점,2023-04-30,4.0,3.0,3.0
2304300003,e_e000043,어디 카페,2023-04-30,5.0,5.0,5.0
2304300004,e_e000043,내리 문화공원,2023-04-30,4.0,3.0,3.0
2304280002,e_e000191,모항항 수산물 직판장,2023-04-28,4.0,4.0,4.0
2304280004,e_e000191,바다가 예쁜 펜션,2023-04-28,4.0,4.0,4.0
2304290001,e_e000191,바다가 예쁜 펜션,2023-04-29,5.0,5.0,5.0
2304290002,e_e000191,저녁노을 횟집,2023-04-29,2.0,2.0,2.0
2304300001,e_e000191,라르고 펜션 2호점,2023-04-30,4.0,3.0,3.0
2304300002,e_e000191,영성가가,2023-04-30,4.0,4.0,4.0
2304300004,e_e000191,시골밥상,2023-04-30,3.0,3.0,4.0
2305270002,e_e000316,신경주역,2023-05-27,4.0,4.0,4.0
2305270003,e_e000316,도이동 집,2023-05-27,4.0,4.0,4.0
2305270004,e_e000316,리움미술관,2023-05-27,4.0,4.0,4.0
2305270005,e_e000316,맥심 플랜트,2023-05-27,4.0,4.0,4.0
2305270006,e_e000316,63아트,2023-05-27,4.0,4.0,4.0
2305270007,e_e000316,더반 베를린 더 현대 서울점,2023-05-27,4.0,4.0,4.0
2305270008,e_e000316,호우 섬 더 현대 서울점,2023-05-27,4.0,4.0,4.0
2305270009,e_e000316,레스 호텔,2023-05-27,4.0,4.0,4.0
2305280001,e_e000316,꽁시면관 본점,2023-05-28,4.0,4.0,4.0
2305280002,e_e000316,천주교 서울 대교구 주교좌 명동 대성당,2023-05-28,4.0,4.0,4.0
2305280003,e_e000316,적당,2023-05-28,4.0,4.0,4.0
2305280004,e_e000316,문화역 서울 284,2023-05-28,4.0,4.0,4.0
2305280005,e_e000316,마루 호 텔 본관,2023-05-28,4.0,4.0,4.0
2305280006,e_e000316,화성행궁,2023-05-28,5.0,5.0,5.0
2305280007,e_e000316,수원 화성 화서문,2023-05-28,5.0,5.0,5.0
2305280008,e_e000316,무얼 수원 행궁점,2023-05-28,4.0,5.0,4.0
2305280009,e_e000316,마루 호텔 본관,2023-05-28,4.0,4.0,4.0
2305290001,e_e000316,남문 통닭 수원 본점,2023-05-29,4.0,4.0,4.0
2305290002,e_e000316,스타벅스 대전엑스포 스카이점,2023-05-29,4.0,4.0,4.0
2305290003,e_e000316,성심당 본점,2023-05-29,4.0,4.0,4.0
2305200003,e_e000668,인천종합어시장,2023-05-20,5.0,5.0,5.0
2305200004,e_e000668,나야 풍란원,2023-05-20,5.0,5.0,5.0
2305200005,e_e000668,뉴 카스타운 대소점,2023-05-20,5.0,5.0,5.0
2305270002,e_e001033,굴암사,2023-05-27,5.0,5.0,5.0
2305270003,e_e001033,이월 서갑,2023-05-27,5.0,5.0,5.0
2305270004,e_e001033,숲속 숯가마 용인점,2023-05-27,5.0,5.0,5.0
2305270005,e_e001033,이향 가든,2023-05-27,5.0,5.0,5.0
2306040001,e_e001240,가야 해물칼국수,2023-06-04,4.0,4.0,4.0
2306040002,e_e001240,장호원 오일장,2023-06-04,4.0,3.0,4.0
2306040004,e_e001240,카페 다원,2023-06-04,4.0,4.0,4.0
2305290002,e_e001423,예산 상설시장,2023-05-29,4.0,4.0,4.0
2305290003,e_e001423,봉곡사,2023-05-29,4.0,4.0,4.0
2306070003,e_e001579,맘스터치 서원대점,2023-06-07,5.0,5.0,4.0
2306070004,e_e001579,서원 대학교 제2자연관,2023-06-07,3.0,3.0,3.0
2306070005,e_e001579,서원대학교 제2학생 회관,2023-06-07,3.0,3.0,3.0
2306070006,e_e001579,청주 여객터미널 북부정류장,2023-06-07,5.0,5.0,5.0
2306070007,e_e001579,센트럴시티터미널(호남),2023-06-07,5.0,5.0,5.0
2306070008,e_e001579,스너그룸스 가락점,2023-06-07,5.0,5.0,5.0
2306080001,e_e001579,오레오 팝업스토어,2023-06-08,5.0,5.0,5.0
2306080002,e_e001579,미쁘동 서울숲,2023-06-08,5.0,5.0,5.0
2306080003,e_e001579,서울숲,2023-06-08,5.0,5.0,5.0
2306090001,e_e001579,떡 도리탕 강남점,2023-06-09,5.0,5.0,5.0
2306090002,e_e001579,신세계백화점 강남점,2023-06-09,5.0,5.0,5.0
2306090003,e_e001579,잠원한강공원,2023-06-09,5.0,5.0,5.0
2306100001,e_e001579,센트럴시티터미널(호남),2023-06-10,5.0,5.0,5.0
2306040002,e_e002195,서울역,2023-06-04,5.0,5.0,5.0
2306040003,e_e002195,대전역,2023-06-04,5.0,5.0,5.0
2306040004,e_e002195,성심당 본점,2023-06-04,5.0,5.0,5.0
2306040005,e_e002195,성심당 케이크 부티크,2023-06-04,4.0,3.0,4.0
2306040006,e_e002195,테마 오래,2023-06-04,5.0,5.0,5.0
2306040007,e_e002195,대전역,2023-06-04,5.0,5.0,5.0
2307010002,e_e003226,탕정 그 집 주꾸미 아산 직영점,2023-07-01,5.0,3.0,4.0
2307010003,e_e003226,현충사,2023-07-01,5.0,5.0,5.0
2307010004,e_e003226,온양온천시장,2023-07-01,4.0,5.0,5.0
2307010005,e_e003226,설빙 충남 아산 온양온천점,2023-07-01,4.0,4.0,4.0
2307010007,e_e003226,온양온천랜드,2023-07-01,5.0,5.0,5.0
2307020002,e_e003226,카페나커,2023-07-02,5.0,5.0,5.0
2307020003,e_e003226,신정호,2023-07-02,5.0,5.0,5.0
2307100002,e_e004870,석남사,2023-07-10,4.0,4.0,3.0
2307100006,e_e004870,서운산 자연휴양림,2023-07-10,5.0,5.0,5.0
2307110001,e_e004870,서운산 자연휴양림,2023-07-11,5.0,5.0,5.0
2307120002,e_e004870,안성 서운산 목재문화체험장,2023-07-12,4.0,4.0,4.0
2307120004,e_e004870,이월 서갑,2023-07-12,5.0,5.0,5.0
2307090002,e_e004944,혼가의 베트남 쌀국수 3호점,2023-07-09,5.0,5.0,5.0
2307090003,e_e004944,여로,2023-07-09,4.0,4.0,4.0
2307090004,e_e004944,설봉공원,2023-07-09,4.0,4.0,4.0
2307090005,e_e004944,롯데 프리미엄 아울렛 이천점,2023-07-09,4.0,4.0,4.0
2307090006,e_e004944,돈과 네 옛날 김치 돼지찌개 백암점,2023-07-09,4.0,4.0,4.0
2308190001,e_e007408,충주 탄금공원(구 세계무술공원),2023-08-19,4.0,4.0,4.0
2308190002,e_e007408,충주 라바 랜드,2023-08-19,5.0,5.0,5.0
2308190003,e_e007408,중앙탑 막국수,2023-08-19,4.0,3.0,3.0
2308190004,e_e007408,중앙탑 사적공원,2023-08-19,4.0,4.0,4.0
2308250003,e_e011214,예산역,2023-08-25,5.0,5.0,5.0
2308250004,e_e011214,달팽이 미술관,2023-08-25,5.0,4.0,4.0
2308250005,e_e011214,봉수산 수목원 및 봉수산 수목원 곤충생태관,2023-08-25,4.0,4.0,4.0
2308250006,e_e011214,예산 황새공원,2023-08-25,5.0,4.0,5.0
2308250008,e_e011214,예당호 모노레일,2023-08-25,4.0,5.0,4.0
2308250009,e_e011214,예당호 출렁다리,2023-08-25,5.0,5.0,5.0
2308250010,e_e011214,예산 상설시장,2023-08-25,4.0,4.0,4.0
2308250011,e_e011214,발레나,2023-08-25,3.0,3.0,3.0
2308250012,e_e011214,사과다,2023-08-25,4.0,3.0,4.0
2308250013,e_e011214,낙원 약과,2023-08-25,4.0,3.0,4.0
2308250014,e_e011214,예산종합터미널,2023-08-25,3.0,3.0,3.0
2309090002,e_e013132,우렁이 박사,2023-09-09,5.0,5.0,5.0
2309090003,e_e013132,레이 키,2023-09-09,5.0,5.0,5.0
2309090004,e_e013132,왜목마을해수욕장,2023-09-09,5.0,5.0,5.0
2309090005,e_e013132,삽교호 놀이공원,2023-09-09,5.0,5.0,5.0
2309230002,e_e013143,한국만화 박물관,2023-09-23,5.0,5.0,5.0
2309230003,e_e013143,국립 중앙과학관,2023-09-23,5.0,5.0,5.0
2309230004,e_e013143,엑스포과학공원 한빛탑,2023-09-23,5.0,5.0,5.0
2309230002,e_e013144,한밭수목원 수생식물원,2023-09-23,5.0,5.0,5.0
2309230003,e_e013144,엑스포시민광장,2023-09-23,5.0,5.0,5.0
2309230004,e_e013144,카이스트 본원,2023-09-23,5.0,5.0,5.0
2309230005,e_e013144,동원 칼국수,2023-09-23,5.0,5.0,5.0
2309240004,e_e013149,경남 식당,2023-09-24,5.0,4.0,5.0
2309240006,e_e013149,단양구경시장,2023-09-24,5.0,4.0,4.0
2309240002,e_e013179,대흥식당,2023-09-24,5.0,5.0,5.0
2309240004,e_e013179,유양 창고,2023-09-24,4.0,4.0,4.0
2309240005,e_e013179,충의사,2023-09-24,5.0,5.0,5.0
2309240008,e_e013179,gs25 예산 덕산점,2023-09-24,4.0,4.0,4.0
2309240009,e_e013179,친지 집,2023-09-24,5.0,5.0,5.0
2309230002,e_e013184,서울고속버스터미널(경부),2023-09-23,4.0,5.0,5.0
2309230003,e_e013184,대전복합터미널,2023-09-23,4.0,5.0,5.0
2309230004,e_e013184,성심당 본점,2023-09-23,5.0,5.0,5.0
2309230006,e_e013184,대전복합터미널,2023-09-23,4.0,4.0,4.0
2309230002,e_e013188,송산포도 휴게소 평택 방향,2023-09-23,5.0,4.0,4.0
2309230003,e_e013188,바른 찜 갈비,2023-09-23,5.0,5.0,5.0
2309230004,e_e013188,신정호 관광단지,2023-09-23,5.0,5.0,5.0
2309230005,e_e013188,아마르 라운지,2023-09-23,5.0,5.0,5.0
2309270003,e_e013282,삽교호 함상공원,2023-09-27,3.0,2.0,2.0
2309270004,e_e013282,삽교호 놀이공원,2023-09-27,4.0,3.0,3.0
2309270005,e_e013282,조개 사랑,2023-09-27,4.0,4.0,4.0
2309270006,e_e013282,할리스 당진시청점,2023-09-27,4.0,3.0,3.0
2309270007,e_e013282,롯데시네마 당진,2023-09-27,4.0,3.0,3.0
2304290002,f_f000001,마검포태안캠핑장,2023-04-29,5.0,5.0,5.0
2304290003,f_f000001,화성휴게소 목포 방향,2023-04-29,4.0,4.0,4.0
2304300001,f_f000001,태안 로컬푸드 직매장,2023-04-30,5.0,5.0,5.0
2304300003,f_f000001,마검포태안캠핑장,2023-04-30,5.0,5.0,5.0
2305010001,f_f000001,태후,2023-05-01,5.0,5.0,5.0
2305010002,f_f000001,해미읍성,2023-05-01,5.0,5.0,5.0
2305010003,f_f000001,CU 서산 해미읍성점,2023-05-01,5.0,5.0,5.0
2304290002,f_f000004,청양 임시휴게소 서천 방향,2023-04-29,5.0,5.0,4.0
