travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e000005,"['아주 매운 공주 칼국수 주꾸미구이 신탄진점', '청주 휴게소 서울 방향', '갤럭시호텔', '월미도', '월미테마파크', '어반 정원', '갤럭시호텔', '월미도 가락국수 월미도점', '개항e지 투어', '인천 맥주', '도래순', '호텔 스카이파크 인천 송도', '호텔 스카이파크 인천 송도', '송도센트럴파크 이스트보트하우스', '더 위크 앤리조트 워터파크', '더 위크앤 리조트', '을왕리 해수욕장', '호남 횟집', '더 위크앤 리조트', '경복궁 삼계탕 인천 송도점', 'G 타워']",5.0,5.0,5.0,2023-04-29,2023-05-02,4
e_e000043,"['국립세종수목원', '팽쇼 과자점', '국립세종 도서관', '정부세종청사 체육관', '평택호 예술공원 평택호 예술관', '메인스트리트', '소풍 정원', '미스진 햄버거 송탄 본점', '어디 카페', '내리 문화공원']",4.8,4.6,4.6,2023-04-28,2023-04-30,3
e_e000191,"['모항항 수산물 직판장', '바다가 예쁜 펜션', '바다가 예쁜 펜션', '저녁노을 횟집', '라르고 펜션 2호점', '영성가가', '시골밥상']",3.7142856,3.5714285,3.7142856,2023-04-28,2023-04-30,3
e_e000316,"['신경주역', '도이동 집', '리움미술관', '맥심 플랜트', '63아트', '더반 베를린 더 현대 서울점', '호우 섬 더 현대 서울점', '레스 호텔', '꽁시면관 본점', '천주교 서울 대교구 주교좌 명동 대성당', '적당', '문화역 서울 284', '마루 호 텔 본관', '화성행궁', '수원 화성 화서문', '무얼 수원 행궁점', '마루 호텔 본관', '남문 통닭 수원 본점', '스타벅스 대전엑스포 스카이점', '성심당 본점']",4.1,4.15,4.1,2023-05-27,2023-05-29,3
e_e000668,"['인천종합어시장', '나야 풍란원', '뉴 카스타운 대소점']",5.0,5.0,5.0,2023-05-20,2023-05-20,1
e_e001033,"['굴암사', '이월 서갑', '숲속 숯가마 용인점', '이향 가든']",5.0,5.0,5.0,2023-05-27,2023-05-27,1
e_e001240,"['가야 해물칼국수', '장호원 오일장', '카페 다원']",4.0,3.6666667,4.0,2023-06-04,2023-06-04,1
e_e001423,"['예산 상설시장', '봉곡사']",4.0,4.0,4.0,2023-05-29,2023-05-29,1
e_e001579,"['맘스터치 서원대점', '서원 대학교 제2자연관', '서원대학교 제2학생 회관', '청주 여객터미널 북부정류장', '센트럴시티터미널(호남)', '스너그룸스 가락점', '오레오 팝업스토어', '미쁘동 서울숲', '서울숲', '떡 도리탕 강남점', '신세계백화점 강남점', '잠원한강공원', '센트럴시티터미널(호남)']",4.6923075,4.6923075,4.6153846,2023-06-07,2023-06-10,4
e_e002195,"['서울역', '대전역', '성심당 본점', '성심당 케이크 부티크', '테마 오래', '대전역']",4.8333335,4.6666665,4.8333335,2023-06-04,2023-06-04,1
e_e003226,"['탕정 그 집 주꾸미 아산 직영점', '현충사', '온양온천시장', '설빙 충남 아산 온양온천점', '온양온천랜드', '카페나커', '신정호']",4.714286,4.571429,4.714286,2023-07-01,2023-07-02,2
e_e004870,"['석남사', '서운산 자연휴양림', '서운산 자연휴양림', '안성 서운산 목재문화체험장', '이월 서갑']",4.6,4.6,4.4,2023-07-10,2023-07-12,3
e_e004944,"['혼가의 베트남 쌀국수 3호점', '여로', '설봉공원', '롯데 프리미엄 아울렛 이천점', '돈과 네 옛날 김치 돼지찌개 백암점']",4.2,4.2,4.2,2023-07-09,2023-07-09,1
e_e007408,"['충주 탄금공원(구 세계무술공원)', '충주 라바 랜드', '중앙탑 막국수', '중앙탑 사적공원']",4.25,4.0,4.0,2023-08-19,2023-08-19,1
e_e011214,"['예산역', '달팽이 미술관', '봉수산 수목원 및 봉수산 수목원 곤충생태관', '예산 황새공원', '예당호 모노레일', '예당호 출렁다리', '예산 상설시장', '발레나', '사과다', '낙원 약과', '예산종합터미널']",4.181818,3.909091,4.090909,2023-08-25,2023-08-25,1
e_e013132,"['우렁이 박사', '레이 키', '왜목마을해수욕장', '삽교호 놀이공원']",5.0,5.0,5.0,2023-09-09,2023-09-09,1
e_e013143,"['한국만화 박물관', '국립 중앙과학관', '엑스포과학공원 한빛탑']",5.0,5.0,5.0,2023-09-23,2023-09-23,1
e_e013144,"['한밭수목원 수생식물원', '엑스포시민광장', '카이스트 본원', '동원 칼국수']",5.0,5.0,5.0,2023-09-23,2023-09-23,1
e_e013149,"['경남 식당', '단양구경시장']",5.0,4.0,4.5,2023-09-24,2023-09-24,1
e_e013179,"['대흥식당', '유양 창고', '충의사', 'gs25 예산 덕산점', '친지 집']",4.6,4.6,4.6,2023-09-24,2023-09-24,1
e_e013184,"['서울고속버스터미널(경부)', '대전복합터미널', '성심당 본점', '대전복합터미널']",4.25,4.75,4.75,2023-09-23,2023-09-23,1
e_e013188,"['송산포도 휴게소 평택 방향', '바른 찜 갈비', '신정호 관광단지', '아마르 라운지']",5.0,4.75,4.75,2023-09-23,2023-09-23,1
e_e013282,"['삽교호 함상공원', '삽교호 놀이공원', '조개 사랑', '할리스 당진시청점', '롯데시네마 당진']",3.8,3.0,3.0,2023-09-27,2023-09-27,1
f_f000001,"['마검포태안캠핑장', '화성휴게소 목포 방향', '태안 로컬푸드 직매장', '마검포태안캠핑장', '태후', '해미읍성', 'CU 서산 해미읍성점']",4.857143,4.857143,4.857143,2023-04-29,2023-05-01,3
f_f000004,"['청양 임시휴게소 서천 방향', '고창 고인돌휴게소 목포 방향', '장보고 싶은 마트', '맘스터치 노화 보길 점', '방파제', '방파제', '벌크 커피 노화 보길 점', '낚시 포인트 저수지', '카페 i', '망끝전망대', '인조 축구장', '방파제', '노화 전통시장', '방파제', '인조축구장', '산양진여객대합실', '함평천지 휴게소 주유소 시흥방향', '부여 백제 휴게소 주유소 공주방향']",4.8333335,4.7777777,4.7222223,2023-04-29,2023-05-01,3
f_f000030,"['태안서 부시장', '센티 마르 펜션 글램핑 캠핑장', '바다회수산', '텅', '커피 인터뷰 파도리점', '파도리 해식동굴', '피나클랜드 수목원', '하쿠', '이틀 호텔', '이틀 호텔', '고향식당', '모 나무르', '지중해마을', '세종 호수 공원']",4.071429,3.7857144,3.7857144,2023-04-28,2023-04-30,3
f_f001718,"['만천하 스카이워크', '단양구경시장', '고수동굴', '다리안 관광지', '도담삼봉', '양망산 전망대', '김군 게스트하우스', '소백산']",4.125,4.125,4.375,2023-06-01,2023-06-02,2
f_f002508,"['Cu', '슈거 브리 움 리조트', '럭스 카바나', '여수 게장 낭만 별식', '여수딸기앙모찌 돌산점']",3.6,3.2,3.2,2023-06-07,2023-06-08,2
f_f008573,"['대청댐 전망대', '푸라닭 치킨 대 전관 평점']",3.5,4.0,4.5,2023-08-24,2023-08-24,1
f_f009789,"['서 부산 휴게소', '석천 식당', '선베드', '유탑 마리나호텔 리조트', '23번 자매 실내 마차', '유탑 마리나호텔 리조트', '여수 해상 케이블카', '산들애']",3.875,3.875,3.75,2023-08-25,2023-08-26,2
f_f015537,"['홍주종합 경기장 운동장', '충무집']",3.0,3.0,3.0,2023-09-03,2023-09-03,1
f_f015541,"['삽교호 놀이공원', '아미 미술관', '옛날 우렁이 식당 당진 3호점', '충남 우수시장 박람회', '브레댄코 당진 수 청점', '신리성지']",4.0,3.5,3.8333333,2023-09-02,2023-09-02,1
f_f016471,"['도담삼봉', '단양 금굴 구석기 유적지', '단양구경시장', '만천하 스카이워크', '냉천 막국수 단양점', '수양개 선사유물전시관', '수양개 빛 터널']",4.714286,4.285714,4.285714,2023-09-16,2023-09-16,1
f_f016830,"['동대구역', '대전역', '우암사적공원 남간정사', '오보예엘사칠', '역전시장', '대전역']",4.3333335,4.5,4.5,2023-09-26,2023-09-26,1
g_g000003,"['진 갈비', '경암동 철길마을', '이마트 군산점', '찰리 하우스', '선유도해수욕장', '찰리 하우스', '초원 사진관', '무창포 해수욕장', '비에 사제서', '행담도 휴게소 양방향']",3.9,3.2,3.7,2023-04-30,2023-05-01,2
g_g000004,"['음성휴게소 통영방향', '부소담악', '봉이 갈비', '휴카페', '이천 휴게소 하남방향']",4.8,4.6,4.6,2023-04-30,2023-05-01,2
g_g000005,"['서울역', '대전역', '텍스트 칼로리 1호점', '벽화거리', '더 리즈 호텔', '농민 순대', '한화생명 이글스 파크', '더 리즈 호텔', '한국조폐공사 화폐박물관', '엑스포시민광장 아트센터', '롯데시티 호텔 대전', '한화생명 이글스 파크', '롯데시티 호텔 대전', '대전 유성구 도룡동', '대전 신세계 아트 앤 사이언스', '엑스포과학공원 한빛탑', '이응노미술관', '대전 오월드', '성심당 본점', '대전역']",3.85,4.4,4.35,2023-04-28,2023-04-30,3
g_g000009,"['중앙 어울림 시장', '어게인 캠핑']",4.0,3.5,4.0,2023-04-29,2023-04-29,1
