antecedents,consequents,support,confidence
frozenset({'전주한옥마을'}),frozenset({'CLUSTER_4'}),0.005189028910303929,0.11475409836065573
frozenset({'해운대해수욕장'}),frozenset({'CLUSTER_3'}),0.004818383988139363,0.11711711711711711
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_3'}),0.008895478131949592,0.15894039735099338
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_4'}),0.007783543365455893,0.13907284768211922
frozenset({'CLUSTER_11'}),frozenset({'제주동문시장'}),0.008524833209785025,0.11386138613861387
frozenset({'황련단길'}),frozenset({'CLUSTER_5'}),0.004818383988139363,0.10924369747899161
frozenset({'황련단길'}),frozenset({'CLUSTER_10'}),0.005189028910303929,0.11764705882352941
frozenset({'황련단길'}),frozenset({'CLUSTER_4'}),0.004818383988139363,0.10924369747899161
frozenset({'황련단길'}),frozenset({'CLUSTER_3'}),0.004818383988139363,0.10924369747899161
frozenset({'CLUSTER_5'}),frozenset({'제주동문시장'}),0.008895478131949592,0.11594202898550725
frozenset({'CLUSTER_5'}),frozenset({'함덕해수욕장'}),0.00815418828762046,0.10628019323671499
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_3'}),0.004818383988139363,0.10400000000000001
frozenset({'CLUSTER_8'}),frozenset({'제주동문시장'}),0.0037064492216456633,0.11111111111111109
frozenset({'CLUSTER_9'}),frozenset({'서귀포 매일 올레시장'}),0.00815418828762046,0.10576923076923077
frozenset({'CLUSTER_9'}),frozenset({'제주동문시장'}),0.01000741289844329,0.1298076923076923
frozenset({'CLUSTER_0'}),frozenset({'광안리해수욕장'}),0.00407709414381023,0.10091743119266056
frozenset({'CLUSTER_0'}),frozenset({'제주동문시장'}),0.004447739065974796,0.11009174311926605
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_3'}),0.007783543365455893,0.20588235294117646
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_9'}),0.00407709414381023,0.10784313725490197
frozenset({'첨성대'}),frozenset({'CLUSTER_4'}),0.006300963676797628,0.1328125
frozenset({'첨성대'}),frozenset({'CLUSTER_3'}),0.007412898443291327,0.15625
frozenset({'CLUSTER_1'}),frozenset({'서귀포 매일 올레시장'}),0.005189028910303929,0.11764705882352941
frozenset({'CLUSTER_1'}),frozenset({'제주동문시장'}),0.006300963676797628,0.14285714285714288
frozenset({'대릉원'}),frozenset({'CLUSTER_4'}),0.006671608598962194,0.13138686131386862
frozenset({'대릉원'}),frozenset({'CLUSTER_3'}),0.007783543365455893,0.15328467153284672
frozenset({'CLUSTER_6'}),frozenset({'서귀포 매일 올레시장'}),0.006300963676797628,0.1650485436893204
frozenset({'CLUSTER_2'}),frozenset({'제주동문시장'}),0.007042253521126761,0.1450381679389313
frozenset({'CLUSTER_14'}),frozenset({'서귀포 매일 올레시장'}),0.004447739065974796,0.1967213114754098
frozenset({'CLUSTER_4'}),frozenset({'제주동문시장'}),0.013343217197924388,0.13636363636363635
frozenset({'제주동문시장'}),frozenset({'CLUSTER_4'}),0.013343217197924388,0.1212121212121212
frozenset({'CLUSTER_7'}),frozenset({'서귀포 매일 올레시장'}),0.007783543365455893,0.11864406779661019
frozenset({'CLUSTER_7'}),frozenset({'함덕해수욕장'}),0.006671608598962194,0.1016949152542373
frozenset({'CLUSTER_17'}),frozenset({'함덕해수욕장'}),0.00407709414381023,0.13095238095238096
frozenset({'CLUSTER_16'}),frozenset({'서귀포 매일 올레시장'}),0.003335804299481097,0.15254237288135591
frozenset({'CLUSTER_16'}),frozenset({'협재해수욕장'}),0.003335804299481097,0.15254237288135591
frozenset({'한밭수목원'}),frozenset({'CLUSTER_5'}),0.004818383988139363,0.10236220472440945
frozenset({'한밭수목원'}),frozenset({'CLUSTER_11'}),0.004818383988139363,0.10236220472440945
frozenset({'한밭수목원'}),frozenset({'CLUSTER_3'}),0.00815418828762046,0.1732283464566929
frozenset({'한밭수목원'}),frozenset({'CLUSTER_4'}),0.008524833209785025,0.1811023622047244
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_3'}),0.009266123054114159,0.11013215859030838
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_4'}),0.008524833209785025,0.1013215859030837
frozenset({'금오름'}),frozenset({'CLUSTER_9'}),0.005189028910303929,0.12844036697247704
frozenset({'금오름'}),frozenset({'CLUSTER_3'}),0.005930318754633061,0.14678899082568805
frozenset({'협재해수욕장'}),frozenset({'CLUSTER_3'}),0.010748702742772424,0.15425531914893617
frozenset({'이호 테우해수욕장'}),frozenset({'CLUSTER_4'}),0.004818383988139363,0.1181818181818182
frozenset({'이호 테우해수욕장'}),frozenset({'CLUSTER_11'}),0.004447739065974796,0.1090909090909091
frozenset({'서귀포 매일 올레시장'}),frozenset({'CLUSTER_3'}),0.010748702742772424,0.10469314079422383
frozenset({'성산일출봉'}),frozenset({'CLUSTER_9'}),0.006300963676797628,0.11038961038961038
frozenset({'김녕해수욕장'}),frozenset({'CLUSTER_5'}),0.00407709414381023,0.10476190476190478
frozenset({'김녕해수욕장'}),frozenset({'CLUSTER_3'}),0.004447739065974796,0.11428571428571428
frozenset({'CLUSTER_3'}),frozenset({'제주동문시장'}),0.01816160118606375,0.13764044943820225
frozenset({'제주동문시장'}),frozenset({'CLUSTER_3'}),0.01816160118606375,0.16498316498316498
frozenset({'오설록 티 뮤지엄'}),frozenset({'CLUSTER_7'}),0.004818383988139363,0.11926605504587157
frozenset({'오설록 티 뮤지엄'}),frozenset({'CLUSTER_3'}),0.004447739065974796,0.11009174311926605
frozenset({'오설록 티 뮤지엄'}),frozenset({'CLUSTER_9'}),0.004447739065974796,0.11009174311926605
