TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,CLUSTER_NEW
e004720,1,1.0,2인 가족 여행,강서 둘레길 1코스(개화산 숲길),29
e004720,1,1.0,2인 가족 여행,롯데몰 김포공항점,29
e000914,1,0.0,나홀로 여행,SETEC,4
e003564,1,0.25,자녀 동반 여행,국립과천과학관,11
e000396,1,0.25,2인 가족 여행,영종 씨사이드 레일바이크,11
e000396,1,0.25,2인 가족 여행,파라다이스 시티 원더 박스,11
e001890,0,0.0,2인 여행(가족 외),창룡문,0
e001890,0,0.0,2인 여행(가족 외),화성행궁 광장,0
e007797,0,0.25,나홀로 여행,파산 서원,8
e007797,0,0.25,나홀로 여행,운정 호수 공원,8
e007797,0,0.25,나홀로 여행,뮌스터담,8
e003039,1,0.25,나홀로 여행,남한강 마트 설악점,10
e000782,0,0.75,3인 이상 여행(가족 외),강변 테크노마트,18
e000782,0,0.75,3인 이상 여행(가족 외),CGV 강변,18
e008478,1,0.0,2인 여행(가족 외),메가박스 킨텍스,4
e008478,1,0.0,2인 여행(가족 외),현대백화점 킨텍스점,4
e008478,1,0.0,2인 여행(가족 외),트레이더스 홀세일 클럽 킨텍스점,4
e008478,1,0.0,2인 여행(가족 외),킨텍스 제1전시장,4
e000655,0,0.75,나홀로 여행,부천 호수 식물원 수피아,18
e000655,0,0.75,나홀로 여행,상동호수 공원,18
e000655,0,0.75,나홀로 여행,부천식물원,18
e000655,0,0.75,나홀로 여행,부천중앙공원,18
e006837,1,1.0,자녀 동반 여행,더티 트렁크,29
e006837,1,1.0,자녀 동반 여행,스타필드 고양,29
e008666,0,0.5,나홀로 여행,코엑스 B 홀,12
e002058,0,1.0,3인 이상 여행(가족 외),화담숲 매표소,24
e010598,1,0.0,2인 여행(가족 외),리움미술관,4
e010598,1,0.0,2인 여행(가족 외),헤리티지 플로스,4
e010598,1,0.0,2인 여행(가족 외),에딧 에디션,4
e007838,1,0.25,나홀로 여행,국립중앙박물관,10
e007403,1,0.0,3인 이상 여행(가족 외),긱스나 PC,3
e007169,1,0.5,자녀 동반 여행,예술의전당,15
e001267,0,0.5,2인 여행(가족 외),말똥 도넛 파주점,14
e001267,0,0.5,2인 여행(가족 외),오두산 통일전망대,14
e001267,0,0.5,2인 여행(가족 외),헤이리 예술마을,14
e001267,0,0.5,2인 여행(가족 외),파주 신세계 프리미엄 아울렛 전기차 충전소(테슬라 전용),14
e005765,0,0.5,2인 여행(가족 외),소마미술관,12
e001538,0,0.5,3인 이상 여행(가족 외),용문사,14
e000608,1,0.0,나홀로 여행,두타몰,5
e000608,1,0.0,나홀로 여행,동대문 역사 문화공원 동대문운동장 기념관,5
e000608,1,0.0,나홀로 여행,코엑스,5
e003810,1,0.25,2인 가족 여행,수원시립미술관,11
e010900,0,0.0,2인 여행(가족 외),스타필드 고양,0
e010900,0,0.0,2인 여행(가족 외),스몹 고양점,0
e010900,0,0.0,2인 여행(가족 외),아쿠아 필드 고양,0
e002491,0,0.0,2인 여행(가족 외),영중농협 하나로마트 본점,0
e002491,0,0.0,2인 여행(가족 외),백운계곡,0
e000556,0,0.25,부모 동반 여행,카리브해,7
e002389,1,1.0,2인 가족 여행,파주출판 단지 치유의 숲,27
e002389,1,1.0,2인 가족 여행,심학산 약천사,27
e002389,1,1.0,2인 가족 여행,심학산 둘레길,27
e003334,0,0.25,나홀로 여행,카페다,7
e003334,0,0.25,나홀로 여행,렛츠 런 파크 서울,7
e003334,0,0.25,나홀로 여행,렛츠 런 파크 서울 러키 빌,7
e003334,0,0.25,나홀로 여행,렛츠 런 파크 서울 말 박물관,7
e007807,1,0.5,2인 여행(가족 외),숭례문,15
e007807,1,0.5,2인 여행(가족 외),아르코예술극장,15
e007807,1,0.5,2인 여행(가족 외),낙산공원,15
e007807,1,0.5,2인 여행(가족 외),한양도성 혜화동 전시 안내센터,15
e007807,1,0.5,2인 여행(가족 외),인사동 문화의 거리,15
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 정문,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 허리케인 어트랙션,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 롤링엑스트레인,20
e005532,0,0.75,3인 이상 여행(가족 외),KFC 용인 에버랜드점,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 아마존 익스프레스,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 슈팅 워터 펀밤밤 클럽,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 T 익스프레스,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 사파리월드,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 밤밤  서머 나이트,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 문라인드 퍼레이드,20
e005532,0,0.75,3인 이상 여행(가족 외),오오 츄,20
e005532,0,0.75,3인 이상 여행(가족 외),에버랜드 Evertopia,20
e005532,0,0.75,3인 이상 여행(가족 외),캐리비안베이 매표소,20
e005532,0,0.75,3인 이상 여행(가족 외),캐리비안베이 파도 풀,20
e005532,0,0.75,3인 이상 여행(가족 외),캐리비안 베이 어드벤처 풀,20
e005532,0,0.75,3인 이상 여행(가족 외),캐리비안베이 와일드 리버풀,20
