antecedents,consequents,support,confidence
frozenset({'화성행궁'}),frozenset({'CLUSTER_3'}),0.004151444702756559,0.33333333333333337
frozenset({'화성행궁'}),frozenset({'CLUSTER_-1'}),0.0029890401859847225,0.24
frozenset({'화성행궁'}),frozenset({'CLUSTER_1'}),0.0029890401859847225,0.24
frozenset({'화성행궁'}),frozenset({'CLUSTER_0'}),0.0016605778811026237,0.13333333333333333
frozenset({'더 현대 서울'}),frozenset({'CLUSTER_0'}),0.0014945200929923613,0.13846153846153844
frozenset({'더 현대 서울'}),frozenset({'CLUSTER_1'}),0.0028229823978744603,0.26153846153846155
frozenset({'더 현대 서울'}),frozenset({'CLUSTER_3'}),0.0036532713384257723,0.3384615384615385
frozenset({'더 현대 서울'}),frozenset({'CLUSTER_-1'}),0.0024908668216539354,0.23076923076923075
frozenset({'에버랜드'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.21875
frozenset({'에버랜드'}),frozenset({'CLUSTER_3'}),0.004317502490866822,0.40625
frozenset({'에버랜드'}),frozenset({'CLUSTER_-1'}),0.003155097974094985,0.296875
frozenset({'전주한옥마을'}),frozenset({'CLUSTER_-1'}),0.0051477914314181335,0.2540983606557377
frozenset({'전주한옥마을'}),frozenset({'CLUSTER_3'}),0.0073065426768515445,0.36065573770491804
frozenset({'전주한옥마을'}),frozenset({'CLUSTER_1'}),0.0051477914314181335,0.2540983606557377
frozenset({'해운대해수욕장'}),frozenset({'CLUSTER_-1'}),0.004815675855197609,0.26126126126126126
frozenset({'해운대해수욕장'}),frozenset({'CLUSTER_1'}),0.004317502490866822,0.23423423423423426
frozenset({'해운대해수욕장'}),frozenset({'CLUSTER_0'}),0.002656924609764198,0.14414414414414414
frozenset({'해운대해수욕장'}),frozenset({'CLUSTER_3'}),0.00631019594818997,0.34234234234234234
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_-1'}),0.004649618067087346,0.18543046357615894
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_3'}),0.009631351710395218,0.3841059602649007
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_0'}),0.0033211557622052474,0.1324503311258278
frozenset({'광안리해수욕장'}),frozenset({'CLUSTER_1'}),0.006808369312520757,0.271523178807947
frozenset({'황련단길'}),frozenset({'CLUSTER_3'}),0.005978080371969445,0.3025210084033613
frozenset({'황련단길'}),frozenset({'CLUSTER_-1'}),0.0034872135503155096,0.1764705882352941
frozenset({'황련단길'}),frozenset({'CLUSTER_0'}),0.0033211557622052474,0.16806722689075632
frozenset({'황련단길'}),frozenset({'CLUSTER_1'}),0.004981733643307871,0.25210084033613445
frozenset({'황련단길'}),frozenset({'CLUSTER_2'}),0.0019926934573231483,0.10084033613445378
frozenset({'동궁과 월지'}),frozenset({'CLUSTER_3'}),0.005812022583859183,0.35714285714285715
frozenset({'동궁과 월지'}),frozenset({'CLUSTER_1'}),0.004815675855197609,0.29591836734693877
frozenset({'동궁과 월지'}),frozenset({'CLUSTER_-1'}),0.002158751245433411,0.1326530612244898
frozenset({'동궁과 월지'}),frozenset({'CLUSTER_0'}),0.002324809033543673,0.14285714285714285
frozenset({'경포해수욕장'}),frozenset({'CLUSTER_-1'}),0.002324809033543673,0.21875
frozenset({'경포해수욕장'}),frozenset({'CLUSTER_1'}),0.0036532713384257723,0.34375
frozenset({'경포해수욕장'}),frozenset({'CLUSTER_3'}),0.0036532713384257723,0.34375
frozenset({'강문해변'}),frozenset({'CLUSTER_-1'}),0.0024908668216539354,0.16483516483516483
frozenset({'강문해변'}),frozenset({'CLUSTER_3'}),0.005645964795748921,0.37362637362637363
frozenset({'강문해변'}),frozenset({'CLUSTER_0'}),0.0016605778811026237,0.10989010989010989
frozenset({'강문해변'}),frozenset({'CLUSTER_1'}),0.0051477914314181335,0.34065934065934067
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_-1'}),0.005313849219528396,0.256
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_1'}),0.004815675855197609,0.232
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_3'}),0.0073065426768515445,0.35200000000000004
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_0'}),0.002158751245433411,0.10400000000000001
frozenset({'속초해수욕장'}),frozenset({'CLUSTER_-1'}),0.0014945200929923613,0.10843373493975904
frozenset({'속초해수욕장'}),frozenset({'CLUSTER_3'}),0.006144138160079708,0.4457831325301205
frozenset({'속초해수욕장'}),frozenset({'CLUSTER_0'}),0.0019926934573231483,0.14457831325301204
frozenset({'속초해수욕장'}),frozenset({'CLUSTER_1'}),0.002656924609764198,0.1927710843373494
frozenset({'속초해수욕장'}),frozenset({'CLUSTER_2'}),0.0014945200929923613,0.10843373493975904
frozenset({'밀란 더 마켓'}),frozenset({'CLUSTER_3'}),0.004317502490866822,0.5
frozenset({'밀란 더 마켓'}),frozenset({'CLUSTER_0'}),0.001328462304882099,0.15384615384615385
frozenset({'밀란 더 마켓'}),frozenset({'CLUSTER_-1'}),0.0011624045167718366,0.1346153846153846
frozenset({'밀란 더 마켓'}),frozenset({'CLUSTER_1'}),0.0018266356692128861,0.21153846153846154
frozenset({'흰 여울 문화마을'}),frozenset({'CLUSTER_1'}),0.0024908668216539354,0.2727272727272727
frozenset({'흰 여울 문화마을'}),frozenset({'CLUSTER_3'}),0.0038193291265360345,0.41818181818181815
frozenset({'흰 여울 문화마을'}),frozenset({'CLUSTER_-1'}),0.0014945200929923613,0.1636363636363636
frozenset({'불국사'}),frozenset({'CLUSTER_3'}),0.004483560278977084,0.42187499999999994
frozenset({'불국사'}),frozenset({'CLUSTER_1'}),0.0018266356692128861,0.171875
frozenset({'불국사'}),frozenset({'CLUSTER_-1'}),0.0024908668216539354,0.23437499999999997
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_-1'}),0.0033211557622052474,0.19607843137254902
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_3'}),0.006642311524410495,0.39215686274509803
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_0'}),0.0018266356692128861,0.10784313725490197
frozenset({'강릉 중앙시장'}),frozenset({'CLUSTER_1'}),0.004317502490866822,0.25490196078431376
frozenset({'아르떼 뮤지엄 강릉'}),frozenset({'CLUSTER_-1'}),0.0014945200929923613,0.17307692307692304
frozenset({'아르떼 뮤지엄 강릉'}),frozenset({'CLUSTER_3'}),0.0033211557622052474,0.3846153846153846
frozenset({'아르떼 뮤지엄 강릉'}),frozenset({'CLUSTER_1'}),0.0028229823978744603,0.32692307692307687
frozenset({'첨성대'}),frozenset({'CLUSTER_1'}),0.006144138160079708,0.2890625
frozenset({'첨성대'}),frozenset({'CLUSTER_3'}),0.007970773829292593,0.37499999999999994
frozenset({'첨성대'}),frozenset({'CLUSTER_0'}),0.002324809033543673,0.109375
frozenset({'첨성대'}),frozenset({'CLUSTER_-1'}),0.003155097974094985,0.1484375
frozenset({'대릉원'}),frozenset({'CLUSTER_1'}),0.006642311524410495,0.29197080291970806
frozenset({'대릉원'}),frozenset({'CLUSTER_-1'}),0.0036532713384257723,0.16058394160583941
frozenset({'대릉원'}),frozenset({'CLUSTER_3'}),0.008801062769843906,0.38686131386861317
frozenset({'대릉원'}),frozenset({'CLUSTER_0'}),0.002324809033543673,0.10218978102189781
frozenset({'국립경주박물관'}),frozenset({'CLUSTER_1'}),0.002656924609764198,0.2666666666666667
frozenset({'국립경주박물관'}),frozenset({'CLUSTER_-1'}),0.0018266356692128861,0.18333333333333335
frozenset({'국립경주박물관'}),frozenset({'CLUSTER_3'}),0.003155097974094985,0.3166666666666667
frozenset({'국립경주박물관'}),frozenset({'CLUSTER_2'}),0.0014945200929923613,0.15
frozenset({'월정교'}),frozenset({'CLUSTER_-1'}),0.0019926934573231483,0.2
frozenset({'월정교'}),frozenset({'CLUSTER_3'}),0.003985386914646297,0.4
frozenset({'월정교'}),frozenset({'CLUSTER_1'}),0.0029890401859847225,0.3
frozenset({'안목 해변'}),frozenset({'CLUSTER_3'}),0.004151444702756559,0.45454545454545453
frozenset({'안목 해변'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.2545454545454545
frozenset({'안목 해변'}),frozenset({'CLUSTER_0'}),0.0016605778811026237,0.1818181818181818
frozenset({'이순신광장'}),frozenset({'CLUSTER_3'}),0.005812022583859183,0.368421052631579
frozenset({'이순신광장'}),frozenset({'CLUSTER_1'}),0.004483560278977084,0.28421052631578947
frozenset({'이순신광장'}),frozenset({'CLUSTER_-1'}),0.002656924609764198,0.16842105263157897
frozenset({'이순신광장'}),frozenset({'CLUSTER_0'}),0.0019926934573231483,0.12631578947368421
frozenset({'오동도'}),frozenset({'CLUSTER_3'}),0.005479907007638658,0.4852941176470588
frozenset({'오동도'}),frozenset({'CLUSTER_-1'}),0.0019926934573231483,0.1764705882352941
frozenset({'오동도'}),frozenset({'CLUSTER_1'}),0.002324809033543673,0.20588235294117646
