TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,VISIT_AREA_NM,TRAVEL_PERSONA
e000004,남,40,자녀 동반 여행,04,창룡문,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000004,남,40,자녀 동반 여행,04,수원 화성 화홍문,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000004,남,40,자녀 동반 여행,04,화성 관광열차 안내소 연무대 매표소,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000006,남,30,2인 가족 여행,04,청량리역 경춘선,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,베이커리 시어터,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,경춘선 자전거길,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,청량리역,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,마석역 경춘선,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,자시오 잣 주꾸미,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,백암천,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000006,남,30,2인 가족 여행,04,청평역 경춘선,경기 방문/거주지 구분 없음/39세 이하/특별미션
e000009,여,30,2인 여행(가족 외),04,평택 초등학교,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,샤오바오 고덕점,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,평택시 농업 생태원,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,대동국수 평택역점,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,농협안성팜랜드,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,평택시 로컬푸드 재단,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,시흥 하늘휴게소 양방향,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,편지,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000009,여,30,2인 여행(가족 외),04,스타필드 안성,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e000010,여,30,나홀로 여행,04,롯데리아 남부터미널점,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,충무아트센터 대극장,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,서울고속버스터미널(경부),서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,스탠더드 커피,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,연신내 칼국수,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,독립문,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,미사리밀빛초계국수 롯데월드점,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,다이소 남부터미널점,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,롯데월드 샤롯데씨어터,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000010,여,30,나홀로 여행,04,서울 남부터미널,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,서울역 1호선,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,인사동 문화의 거리,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,"서울랜드, 국립현대미술관",서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,교대 이층집 여의도점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,광명역,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,동원 홈 푸드라운지 국립 현대미술관점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,IFC 몰,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000011,여,60,3인 이상 여행(가족 외),04,삼진 어묵 부산역 광장점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000013,여,20,부모 동반 여행,04,지중해마을,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000013,여,20,부모 동반 여행,04,이케아 광명점,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000013,여,20,부모 동반 여행,04,해브펀 캠핑 어라운드,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000013,여,20,부모 동반 여행,04,이마트 파주점,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000013,여,20,부모 동반 여행,04,파주 프리미엄 아울렛,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000013,여,20,부모 동반 여행,04,정안 알밤 휴게소 천안 방향,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션
e000014,남,60,자녀 동반 여행,05,에버랜드,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000015,남,20,2인 여행(가족 외),04,스타필드 코엑스몰,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,합정옥,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,에코 코인 노래연습장,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,서피 동파,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,아웃 닭 건대점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,엑스 클라임 건대점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,코지에 FunCity,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,낙원악기상가,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,정안 알밤 휴게소 천안 방향,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,서울어린이대공원,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,아차산 김가네 맛집,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,에인절 코인 노래연습장 건대점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,북촌 한옥마을,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,스타벅스 아차산역,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,명륜 진사갈비 서울 중곡점,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,센트럴시티터미널(호남),서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,전주 고속버스터미널,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000015,남,20,2인 여행(가족 외),04,동양 방앗간,서울 방문/수도권 외 거주/40세 이상/커플/일반미션
e000016,남,30,나홀로 여행,04,롯데몰 김포공항점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e000016,남,30,나홀로 여행,04,현대 프리미엄 아울렛 김포점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e000018,여,40,자녀 동반 여행,04,고양어린이 박물관,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000018,여,40,자녀 동반 여행,04,미소야 일산 화정점,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e000020,여,40,나홀로 여행,04,아침고요 수목원,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,화도 졸음쉼터 양양 방향,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,본가신숙희 진골막국수,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,파르티아 워터하우스,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,가평군 농협 하나로마트 설악점,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,나무 아래 오후 N,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,카페 아우라,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,가평 양떼목장,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000020,여,40,나홀로 여행,04,연청 국장,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,마시다 초밥 이자카야,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,호텔 헤르메스,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,스타벅스 화성 남양 DT점,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,준코인 노래연습장,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,현대자동차 남양기술연구소 후문,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,서울역,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,티 카페 차희,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,남양성모성지,경기 방문/거주지 구분 없음/40세 이상/특별미션
e000021,남,20,2인 여행(가족 외),04,머슴 고기 화성 시청 본점,경기 방문/거주지 구분 없음/40세 이상/특별미션
