TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,CLUSTER
e000004,남,40,자녀 동반 여행,화성 관광열차 안내소 연무대 매표소,2,0.0
e000004,남,40,자녀 동반 여행,창룡문,2,0.0
e000004,남,40,자녀 동반 여행,수원 화성 화홍문,2,0.0
e000006,남,30,2인 가족 여행,경춘선 자전거길,1,0.0
e000006,남,30,2인 가족 여행,백암천,12,0.0
e000009,여,30,2인 여행(가족 외),농협안성팜랜드,6,1.0
e000009,여,30,2인 여행(가족 외),스타필드 안성,4,1.0
e000009,여,30,2인 여행(가족 외),평택 초등학교,12,1.0
e000009,여,30,2인 여행(가족 외),평택시 농업 생태원,6,1.0
e000010,여,30,나홀로 여행,충무아트센터 대극장,3,1.0
e000010,여,30,나홀로 여행,독립문,2,1.0
e000010,여,30,나홀로 여행,롯데월드 샤롯데씨어터,3,1.0
e000011,여,60,3인 이상 여행(가족 외),인사동 문화의 거리,4,2.0
e000011,여,60,3인 이상 여행(가족 외),후후 라운지,13,2.0
e000011,여,60,3인 이상 여행(가족 외),IFC 몰,4,2.0
e000011,여,60,3인 이상 여행(가족 외),"서울랜드, 국립현대미술관",13,2.0
e000013,여,20,부모 동반 여행,파주 프리미엄 아울렛,4,0.0
e000013,여,20,부모 동반 여행,이마트 파주점,4,0.0
e000013,여,20,부모 동반 여행,이케아 광명점,4,0.0
e000013,여,20,부모 동반 여행,지중해마을,6,0.0
e000014,남,60,자녀 동반 여행,에버랜드,6,1.0
e000015,남,20,2인 여행(가족 외),스타필드 코엑스몰,3,0.0
e000015,남,20,2인 여행(가족 외),서울어린이대공원,7,0.0
e000015,남,20,2인 여행(가족 외),에인절 코인 노래연습장 건대점,3,0.0
e000015,남,20,2인 여행(가족 외),코지에 FunCity,3,0.0
e000015,남,20,2인 여행(가족 외),엑스 클라임 건대점,12,0.0
e000015,남,20,2인 여행(가족 외),에코 코인 노래연습장,12,0.0
e000015,남,20,2인 여행(가족 외),동양 방앗간,1,0.0
e000015,남,20,2인 여행(가족 외),북촌 한옥마을,1,0.0
e000015,남,20,2인 여행(가족 외),낙원악기상가,4,0.0
e000016,남,30,나홀로 여행,현대 프리미엄 아울렛 김포점,4,1.0
e000016,남,30,나홀로 여행,롯데몰 김포공항점,4,1.0
e000018,여,40,자녀 동반 여행,고양어린이 박물관,13,1.0
e000020,여,40,나홀로 여행,아침고요 수목원,6,2.0
e000020,여,40,나홀로 여행,나무 아래 오후 N,4,2.0
e000020,여,40,나홀로 여행,가평 양떼목장,13,2.0
e000020,여,40,나홀로 여행,윤명로,12,2.0
e000020,여,40,나홀로 여행,카페 아우라,4,2.0
e000021,남,20,2인 여행(가족 외),준코인 노래연습장,4,0.0
e000021,남,20,2인 여행(가족 외),현대자동차 남양기술연구소 후문,12,0.0
e000021,남,20,2인 여행(가족 외),남양성모성지,2,0.0
e000022,남,40,2인 가족 여행,허브아일랜드,6,2.0
e000022,남,40,2인 가족 여행,소요산,1,2.0
e000023,남,60,3대 동반 여행(친척 포함),서울 시티투어버스,2,0.0
e000023,남,60,3대 동반 여행(친척 포함),광화문광장,2,0.0
e000023,남,60,3대 동반 여행(친척 포함),경복궁,2,0.0
e000025,여,40,자녀 동반 여행,캐널시티,4,2.0
e000037,여,30,나홀로 여행,카페 가우디,4,0.0
e000038,남,30,2인 가족 여행,월문온천,12,1.0
e000039,남,40,2인 가족 여행,에버랜드 매표소,6,2.0
e000039,남,40,2인 가족 여행,에버랜드 판다월드,6,2.0
e000039,남,40,2인 가족 여행,에버랜드 사파리월드,6,2.0
e000039,남,40,2인 가족 여행,에버랜드 T 익스프레스,6,2.0
e000039,남,40,2인 가족 여행,에버랜드 장미원,6,2.0
e000039,남,40,2인 가족 여행,포메인 에버랜드 직영점,6,2.0
e000040,남,30,2인 여행(가족 외),서울로 717,7,0.0
e000040,남,30,2인 여행(가족 외),숭례문,2,0.0
e000041,남,60,부모 동반 여행,유토피아추모관,12,0.0
e000041,남,60,부모 동반 여행,쌍용 폐기 닭 본점,4,0.0
e000041,남,60,부모 동반 여행,바리고 빈스,2,0.0
e000041,남,60,부모 동반 여행,화성 융릉과 건릉,2,0.0
e000042,여,20,2인 여행(가족 외),휠 프렌즈,5,1.0
e000042,여,20,2인 여행(가족 외),수기 해변,2,1.0
e000042,여,20,2인 여행(가족 외),예단포둘레길,7,1.0
e000045,여,60,2인 가족 여행,장흥농협 하나로마트 송추점,4,0.0
e000045,여,60,2인 가족 여행,마장호수,1,0.0
e000046,남,60,3인 이상 여행(가족 외),푸른 솔 GC 포천,5,2.0
e000293,여,30,나홀로 여행,링크 아트센터,3,2.0
e000293,여,30,나홀로 여행,예스24 스테이지,3,2.0
e000294,여,20,2인 여행(가족 외),에버랜드,6,1.0
e000296,여,30,나홀로 여행,개포동 근린공원,7,0.0
e000296,여,30,나홀로 여행,서울 장미축제,8,0.0
e000299,여,50,나홀로 여행,서울시립미술관 서소문 본관,3,2.0
e000299,여,50,나홀로 여행,덕수궁 중명전,2,2.0
e000299,여,50,나홀로 여행,덕수궁,2,2.0
e000301,남,20,2인 여행(가족 외),BMW 한독모터스 서초전시장,13,2.0
e000302,여,20,나홀로 여행,감성 교복 잠실 본점,13,2.0
e000302,여,20,나홀로 여행,롯데월드,6,2.0
e000302,여,20,나홀로 여행,도산 근린공원,1,2.0
e000302,여,20,나홀로 여행,탬버린즈하우스도산,4,2.0
e000302,여,20,나홀로 여행,WI 컨벤션,4,2.0
e000302,여,20,나홀로 여행,서울숲 카페거리,4,2.0
e000302,여,20,나홀로 여행,서울숲,7,2.0
e000307,남,30,나홀로 여행,연천 전곡리 선사유적지,2,2.0
e000307,남,30,나홀로 여행,재인폭포,1,2.0
e000307,남,30,나홀로 여행,좌상 바위,1,2.0
e000311,남,30,자녀 동반 여행,씨사이드 파크,13,2.0
e000311,남,30,자녀 동반 여행,슈퍼키즈 스카이 방방 하늘도시점,6,2.0
e000311,남,30,자녀 동반 여행,구읍뱃터,1,2.0
e000311,남,30,자녀 동반 여행,영종하늘공원,1,2.0
e000317,남,30,나홀로 여행,발라드 지디 청담,4,0.0
e000317,남,30,나홀로 여행,CGV 영등포,3,0.0
e000317,남,30,나홀로 여행,타임스퀘어,4,0.0
e000317,남,30,나홀로 여행,롯데백화점 영등포점,4,0.0
e000319,여,50,나홀로 여행,송내역 상가,4,0.0
e000319,여,50,나홀로 여행,둘리 광장,7,0.0
e000319,여,50,나홀로 여행,둘리의 거리,4,0.0
e000319,여,50,나홀로 여행,하얀 마을 어린이공원,7,0.0
e000319,여,50,나홀로 여행,미리내공원,7,0.0
e000319,여,50,나홀로 여행,롯데백화점 중동점,4,0.0
e000319,여,50,나홀로 여행,둘리의 거리(송내역 로데오거리),4,0.0
e000319,여,50,나홀로 여행,굳이공원,7,0.0
e000319,여,50,나홀로 여행,부천중앙공원,7,0.0
e000319,여,50,나홀로 여행,뉴코아 아울렛 부천점,4,0.0
e000322,남,60,나홀로 여행,양명이 교,7,1.0
e000322,남,60,나홀로 여행,유니클로 엔터식스 안양역점,4,1.0
e000322,남,60,나홀로 여행,관악산 산림욕장,1,1.0
e000322,남,60,나홀로 여행,망해암,2,1.0
e000322,남,60,나홀로 여행,엔터식스 안양역점,4,1.0
e000322,남,60,나홀로 여행,한 아름공원,7,1.0
e000322,남,60,나홀로 여행,미리내공원,7,1.0
e000322,남,60,나홀로 여행,상동시장,4,1.0
e000323,여,20,2인 여행(가족 외),수원 전통문화관 예절교육관,13,2.0
e000323,여,20,2인 여행(가족 외),화성행궁,2,2.0
e000323,여,20,2인 여행(가족 외),장안문,2,2.0
e000323,여,20,2인 여행(가족 외),효원공원,1,2.0
e000323,여,20,2인 여행(가족 외),효원공원 월화원,2,2.0
e000329,여,20,2인 여행(가족 외),롯데시네마 파주 운정,3,1.0
e000329,여,20,2인 여행(가족 외),보스 포차,4,1.0
e000329,여,20,2인 여행(가족 외),짚풀공원,7,1.0
e000329,여,20,2인 여행(가족 외),프로방스 마을,4,1.0
e000329,여,20,2인 여행(가족 외),파주 프리미엄 아울렛,4,1.0
e000331,여,30,나홀로 여행,커피빈 서울스퀘어점,4,1.0
e000331,여,30,나홀로 여행,CGV 용산 아이파크몰,3,1.0
e000331,여,30,나홀로 여행,롯데월드,6,1.0
e000331,여,30,나홀로 여행,보드게임카페 홈스 앤 루팡 홍대점,3,1.0
e000332,남,20,2인 여행(가족 외),대현네,4,1.0
e000332,남,20,2인 여행(가족 외),원조만 선호 프 노가리 체인 본점,4,1.0
e000334,여,20,2인 여행(가족 외),오랑주리,4,1.0
e000334,여,20,2인 여행(가족 외),니지 모리 스튜디오,2,1.0
e000336,여,30,자녀 동반 여행,서울대공원 장미원 축제,8,2.0
e000336,여,30,자녀 동반 여행,63스퀘어,3,2.0
e000336,여,30,자녀 동반 여행,국립어린이과학관,13,2.0
e000336,여,30,자녀 동반 여행,더 현대 서울,4,2.0
e000336,여,30,자녀 동반 여행,서울랜드,6,2.0
e000338,여,40,나홀로 여행,리움미술관,3,1.0
e000338,여,40,나홀로 여행,국립중앙박물관,2,1.0
e000342,남,60,3대 동반 여행(친척 포함),심곡천,7,1.0
e000342,남,60,3대 동반 여행(친척 포함),소래포구,1,1.0
e000342,남,60,3대 동반 여행(친척 포함),소래포구 종합어시장,4,1.0
e000342,남,60,3대 동반 여행(친척 포함),바다쏭 인천 연수점,4,1.0
e000342,남,60,3대 동반 여행(친척 포함),송도센트럴파크,7,1.0
e000344,남,30,자녀 동반 여행,롯데월드타워,4,0.0
e000344,남,30,자녀 동반 여행,롯데월드,6,0.0
e000344,남,30,자녀 동반 여행,올림픽공원,2,0.0
e000345,남,30,3인 이상 여행(가족 외),반포 한강공원,8,1.0
e000345,남,30,3인 이상 여행(가족 외),고속터미널역 9호선 앞 정자,7,1.0
e000345,남,30,3인 이상 여행(가족 외),아이센스 리그 PC방 압구정점,3,1.0
e000345,남,30,3인 이상 여행(가족 외),올림픽공원 SK 핸드볼경기장,3,1.0
e000346,남,60,3인 이상 여행(가족 외),하나개해수욕장,1,0.0
e000347,남,40,나홀로 여행,금빛 수로 보트하우스,12,0.0
e000347,남,40,나홀로 여행,현대 프리미엄 아울렛 김포점,4,0.0
e000347,남,40,나홀로 여행,아라 김포여객터미널 아라마린센터,8,0.0
e000350,여,30,자녀 동반 여행,부천 자연 생태공원,1,0.0
e000350,여,30,자녀 동반 여행,뉴코아 아울렛 부천점,4,0.0
e000352,여,30,2인 여행(가족 외),아이파크몰 용산점 the roof,7,1.0
e000352,여,30,2인 여행(가족 외),아르고 티,4,1.0
e000353,여,40,나홀로 여행,임진각 평화누리,2,2.0
e000353,여,40,나홀로 여행,헤이리 예술마을,3,2.0
e000353,여,40,나홀로 여행,파주 프리미엄 아울렛,4,2.0
e000355,여,40,자녀 동반 여행,아시안 갯벌 체험장,13,1.0
e000357,여,30,나홀로 여행,삼성서울병원,12,2.0
e000357,여,30,나홀로 여행,연세 센스 의원,12,2.0
e000357,여,30,나홀로 여행,롯데백화점 영등포점,4,2.0
e000360,남,30,2인 가족 여행,율봄식물원,1,2.0
e000360,남,30,2인 가족 여행,어로프 슬라이스피스,4,2.0
e000362,여,40,2인 가족 여행,오이도,1,1.0
e000362,여,40,2인 가족 여행,대부바다 향기테마파크,1,1.0
e000362,여,40,2인 가족 여행,서평택 골프클럽,5,1.0
e000364,여,30,나홀로 여행,광교역사 공원,2,1.0
