VISIT_AREA_ID,TRAVELER_ID,VISIT_AREA_NM,VISIT_START_YMD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
2304300002,e_e000003,안성휴게소 부산방향,2023-04-30,4.0,4.0,4.0
2304300003,e_e000003,금강휴게소,2023-04-30,4.0,4.0,4.0
2304300004,e_e000003,김천종합운동장,2023-04-30,5.0,5.0,5.0
2304300005,e_e000003,입장 거봉포도 휴게소 서울 방향,2023-04-30,4.0,4.0,4.0
2305270002,e_e000340,자유 궁,2023-05-27,4.0,5.0,5.0
2305270003,e_e000340,포천 자연마을 서울 캠핑장,2023-05-27,5.0,5.0,5.0
2305270004,e_e000340,고석정 국민관광지,2023-05-27,5.0,5.0,5.0
2305270005,e_e000340,포천 자연마을 서울 캠핑장,2023-05-27,5.0,5.0,5.0
2305280001,e_e000340,한탄강 하늘다리,2023-05-28,5.0,5.0,5.0
2305280002,e_e000340,포천 봄꽃 정원,2023-05-28,5.0,5.0,5.0
2305280003,e_e000340,관인 약수터 막국수,2023-05-28,5.0,5.0,5.0
2305280004,e_e000340,포천 자연마을 서울 캠핑장,2023-05-28,5.0,5.0,5.0
2305280005,e_e000340,화적연,2023-05-28,5.0,5.0,5.0
2305280006,e_e000340,비둘기낭폭포,2023-05-28,5.0,5.0,5.0
2305280007,e_e000340,포천 자연마을 서울 캠핑장,2023-05-28,5.0,5.0,5.0
2305290002,e_e000340,포천시 이동면 장암리 613-1 하천,2023-05-29,5.0,5.0,5.0
2305290003,e_e000340,향유 갈비,2023-05-29,5.0,5.0,5.0
2306030002,e_e000515,문경휴게소 창원방향,2023-06-03,3.0,4.0,4.0
2306040001,e_e000515,별천계곡,2023-06-04,3.0,4.0,4.0
2306040002,e_e000515,여항산 호수길,2023-06-04,4.0,4.0,4.0
2306050001,e_e000515,무진장,2023-06-05,3.0,3.0,3.0
2306050002,e_e000515,식목일,2023-06-05,3.0,2.0,3.0
2306050003,e_e000515,하마스 빅버거,2023-06-05,4.0,4.0,4.0
2306050004,e_e000515,광암해수욕장,2023-06-05,4.0,4.0,4.0
2306050005,e_e000515,주도 횟집,2023-06-05,5.0,5.0,5.0
2305240003,e_e000571,고석정 꽃밭,2023-05-24,4.0,5.0,5.0
2305240004,e_e000571,상하이,2023-05-24,4.0,3.0,3.0
2305240005,e_e000571,카페 마들렌,2023-05-24,4.0,3.0,3.0
2305240006,e_e000571,엠앤 러키 호텔,2023-05-24,4.0,3.0,3.0
2305240007,e_e000571,김해국제공항 국내선 청사,2023-05-24,5.0,5.0,5.0
2305250001,e_e000571,익선동 한옥거리,2023-05-25,5.0,5.0,5.0
2305250002,e_e000571,이비스 스타일 앰배서더 명동,2023-05-25,5.0,5.0,5.0
2305250003,e_e000571,이비스 스타일 앰배서더 명동,2023-05-25,5.0,5.0,5.0
2305260001,e_e000571,이누스 강남 직영점,2023-05-26,4.0,3.0,3.0
2305260002,e_e000571,앰배서더 서울 풀만 더 라운지 앤 바,2023-05-26,5.0,5.0,5.0
2305260003,e_e000571,스미 로우,2023-05-26,5.0,5.0,5.0
2305260005,e_e000571,서울역,2023-05-26,5.0,5.0,5.0
2305260006,e_e000571,천주교 서울 대교구 주교좌 명동 대성당,2023-05-26,5.0,5.0,5.0
2305260002,e_e000601,바비치 성서점,2023-05-26,5.0,5.0,5.0
2305260004,e_e000601,대구 성서운동장,2023-05-26,4.0,5.0,4.0
2305270001,e_e000601,와룡산,2023-05-27,5.0,4.0,4.0
2305270003,e_e000601,바라던 바다 대게 새우,2023-05-27,4.0,3.0,4.0
2305270004,e_e000601,금호 꽃섬,2023-05-27,5.0,5.0,5.0
2305280001,e_e000601,이곳 장미공원,2023-05-28,5.0,5.0,5.0
2305280002,e_e000601,설빙 대구 성서점,2023-05-28,5.0,4.0,3.0
2305280003,e_e000601,풍년 구생 막창 본점,2023-05-28,5.0,5.0,5.0
2305290001,e_e000601,대구근대골목 단팥빵 대구역점,2023-05-29,5.0,5.0,5.0
2305200002,e_e000654,가평휴게소 춘천 방향,2023-05-20,4.0,4.0,4.0
2305200003,e_e000654,가리산 레포츠파크,2023-05-20,5.0,4.0,4.0
2305200004,e_e000654,한마음 정육 식당 강원 홍천점,2023-05-20,5.0,5.0,5.0
2305200005,e_e000654,가평휴게소 서울 방향,2023-05-20,5.0,4.0,4.0
2305270002,e_e001062,필로 티스 펜션,2023-05-27,5.0,5.0,5.0
2305270003,e_e001062,시화 나래 휴게소,2023-05-27,3.0,3.0,3.0
2305270004,e_e001062,필로 티스 펜션,2023-05-27,5.0,5.0,5.0
2305270005,e_e001062,백년손님,2023-05-27,5.0,5.0,5.0
2305270006,e_e001062,러키 할인마트 대부점,2023-05-27,5.0,5.0,5.0
2305270007,e_e001062,필로 티스 펜션,2023-05-27,5.0,5.0,5.0
2305270008,e_e001062,러키 할인마트 대부점,2023-05-27,5.0,5.0,5.0
2305280001,e_e001062,대부도 맛집 풍경,2023-05-28,5.0,5.0,5.0
2305280002,e_e001062,라라랜드,2023-05-28,5.0,5.0,5.0
2305280003,e_e001062,정안 알밤 휴게소 논산 방향,2023-05-28,5.0,5.0,5.0
2305280004,e_e001062,관촌 휴게소 순천방향 주차장,2023-05-28,3.0,2.0,2.0
2305280005,e_e001062,화개 장터,2023-05-28,5.0,5.0,5.0
2305280006,e_e001062,와바 모텔,2023-05-28,5.0,5.0,5.0
2305290001,e_e001062,노산공원,2023-05-29,5.0,5.0,5.0
2305290002,e_e001062,재건냉면,2023-05-29,5.0,5.0,5.0
2305290003,e_e001062,함양휴게소 대전방향,2023-05-29,4.0,3.0,3.0
2305290004,e_e001062,덕유산 휴게소 대전방향,2023-05-29,5.0,5.0,5.0
2305290005,e_e001062,고가네 칼국수,2023-05-29,5.0,5.0,5.0
2307280002,e_e004690,스타벅스 리버사이드대성리DT점,2023-07-28,4.0,3.0,3.0
2307280003,e_e004690,텐파크,2023-07-28,4.0,3.0,3.0
2307280004,e_e004690,에그하우스,2023-07-28,3.0,2.0,2.0
2307280005,e_e004690,라멘 선생 수제돈가스,2023-07-28,3.0,3.0,3.0
2307280006,e_e004690,가평 잣 고을시장,2023-07-28,3.0,3.0,3.0
2307280007,e_e004690,에그하우스,2023-07-28,3.0,2.0,2.0
2307290001,e_e004690,용추계곡,2023-07-29,4.0,4.0,4.0
2307290002,e_e004690,공원 막국수,2023-07-29,5.0,5.0,5.0
2307290003,e_e004690,더 플래츠,2023-07-29,3.0,3.0,3.0
2307290004,e_e004690,숨,2023-07-29,4.0,4.0,4.0
2307290005,e_e004690,동두천 관광특구,2023-07-29,4.0,3.0,4.0
2307290006,e_e004690,롯데 프리미엄 아울렛 파주점,2023-07-29,4.0,4.0,4.0
2307290007,e_e004690,네이처 스파,2023-07-29,4.0,3.0,3.0
2307300001,e_e004690,더티 트렁크,2023-07-30,4.0,3.0,3.0
2307300002,e_e004690,이마트 파주 운정점,2023-07-30,3.0,3.0,3.0
2307300003,e_e004690,미키 주유소,2023-07-30,4.0,3.0,3.0
2307100002,e_e004785,아롬 스파 펜션,2023-07-10,4.0,4.0,4.0
2307100003,e_e004785,용산역,2023-07-10,4.0,4.0,4.0
2307100004,e_e004785,청평역 경춘선,2023-07-10,5.0,4.0,4.0
2307100005,e_e004785,르푸앵 수상 레저,2023-07-10,3.0,2.0,3.0
2307100006,e_e004785,가평역 경춘선,2023-07-10,4.0,4.0,4.0
2307100007,e_e004785,남이섬 웰빙 닭갈비 막국수,2023-07-10,5.0,4.0,4.0
2307100008,e_e004785,세븐일레븐 남이섬점,2023-07-10,4.0,4.0,4.0
2307110001,e_e004785,가평역 경춘선,2023-07-11,4.0,4.0,4.0
2307110002,e_e004785,쏘카 가평역,2023-07-11,4.0,4.0,4.0
2307110003,e_e004785,엄마네 칼국수,2023-07-11,5.0,5.0,5.0
2307110004,e_e004785,개화당 본점,2023-07-11,5.0,5.0,5.0
2307110005,e_e004785,제이드가든 수목원,2023-07-11,5.0,5.0,5.0
2307110006,e_e004785,가평군 농협 하나로마트 본점,2023-07-11,5.0,5.0,5.0
2307110007,e_e004785,GS25 가평 가화로 점,2023-07-11,4.0,3.0,3.0
2307110008,e_e004785,명지산 주유소,2023-07-11,4.0,4.0,4.0
2307110010,e_e004785,또바기 스파 글램핑,2023-07-11,5.0,4.0,4.0
2307120001,e_e004785,우렁이 쌈밥,2023-07-12,5.0,5.0,5.0
2307120002,e_e004785,남이섬 가평 선착장,2023-07-12,4.0,4.0,4.0
