TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,VISIT_AREA_NM,TRAVEL_PERSONA
e000003,남,40,자녀 동반 여행,04,안성휴게소 부산방향,"대구,경북 방문/경상권 외 거주/40세 이상/자녀동반/일반미션"
e000003,남,40,자녀 동반 여행,04,김천종합운동장,"대구,경북 방문/경상권 외 거주/40세 이상/자녀동반/일반미션"
e000003,남,40,자녀 동반 여행,04,입장 거봉포도 휴게소 서울 방향,"대구,경북 방문/경상권 외 거주/40세 이상/자녀동반/일반미션"
e000003,남,40,자녀 동반 여행,04,금강휴게소,"대구,경북 방문/경상권 외 거주/40세 이상/자녀동반/일반미션"
e000340,여,40,자녀 동반 여행,05,비둘기낭폭포,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,향유 갈비,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,자유 궁,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,포천시 이동면 장암리 613-1 하천,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,고석정 국민관광지,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,화적연,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,관인 약수터 막국수,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,포천 자연마을 서울 캠핑장,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,포천 봄꽃 정원,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000340,여,40,자녀 동반 여행,05,한탄강 하늘다리,강원 방문/수도권/강원 거주/40세 이상/자녀동반/일반미션
e000515,남,40,3인 이상 여행(가족 외),06,광암해수욕장,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
e000515,남,40,3인 이상 여행(가족 외),06,주도 횟집,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
e000515,남,40,3인 이상 여행(가족 외),06,식목일,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
e000515,남,40,3인 이상 여행(가족 외),06,무진장,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
e000515,남,40,3인 이상 여행(가족 외),06,문경휴게소 창원방향,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
e000515,남,40,3인 이상 여행(가족 외),06,별천계곡,"부산,울산,경남 방문/경상권 외 거주/40세 이상/3인 이상 친구/일반미션"
