TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,CLUSTER
e000003,남,40,자녀 동반 여행,김천종합운동장,5,2.0
e000340,여,40,자녀 동반 여행,고석정 국민관광지,13,2.0
e000340,여,40,자녀 동반 여행,한탄강 하늘다리,1,2.0
e000340,여,40,자녀 동반 여행,포천 봄꽃 정원,8,2.0
e000340,여,40,자녀 동반 여행,화적연,2,2.0
e000340,여,40,자녀 동반 여행,비둘기낭폭포,1,2.0
e000340,여,40,자녀 동반 여행,백교,12,2.0
e000340,여,40,자녀 동반 여행,포천시 이동면 장암리 613-1 하천,12,2.0
e000515,남,40,3인 이상 여행(가족 외),별천계곡,1,2.0
e000515,남,40,3인 이상 여행(가족 외),여항산 호수길,7,2.0
e000515,남,40,3인 이상 여행(가족 외),무진장,2,2.0
e000515,남,40,3인 이상 여행(가족 외),식목일,4,2.0
e000515,남,40,3인 이상 여행(가족 외),광암해수욕장,1,2.0
e000571,여,30,나홀로 여행,소이산 모노레일 철원역,13,2.0
e000571,여,30,나홀로 여행,고석정 꽃밭,1,2.0
e000571,여,30,나홀로 여행,익선동 한옥거리,4,2.0
e000571,여,30,나홀로 여행,이누스 강남 직영점,4,2.0
e000571,여,30,나홀로 여행,천주교 서울 대교구 주교좌 명동 대성당,2,2.0
e000601,여,20,나홀로 여행,대구 성서운동장,7,0.0
e000601,여,20,나홀로 여행,와룡산,1,0.0
e000601,여,20,나홀로 여행,금호 꽃섬,1,0.0
e000601,여,20,나홀로 여행,이곳 장미공원,8,0.0
e000654,여,30,2인 여행(가족 외),가리산 레포츠파크,13,2.0
e001062,남,40,3인 이상 여행(가족 외),러키 할인마트 대부점,4,0.0
e001062,남,40,3인 이상 여행(가족 외),라라랜드,4,0.0
e001062,남,40,3인 이상 여행(가족 외),화개 장터,13,0.0
e001062,남,40,3인 이상 여행(가족 외),노산공원,1,0.0
e004690,남,40,2인 여행(가족 외),텐파크,13,1.0
e004690,남,40,2인 여행(가족 외),가평 잣 고을시장,7,1.0
e004690,남,40,2인 여행(가족 외),용추계곡,1,1.0
e004690,남,40,2인 여행(가족 외),동두천 관광특구,4,1.0
e004690,남,40,2인 여행(가족 외),롯데 프리미엄 아울렛 파주점,4,1.0
e004690,남,40,2인 여행(가족 외),이마트 파주 운정점,4,1.0
e004785,남,30,2인 여행(가족 외),르푸앵 수상 레저,5,1.0
e004785,남,30,2인 여행(가족 외),제이드가든 수목원,1,1.0
e004785,남,30,2인 여행(가족 외),명지산 주유소,12,1.0
e004785,남,30,2인 여행(가족 외),남이섬,1,1.0
e004785,남,30,2인 여행(가족 외),자라섬,1,1.0
e006945,여,50,2인 가족 여행,제 따오나 선원,2,0.0
e006945,여,50,2인 가족 여행,국립춘천 박물관,2,0.0
e008914,여,20,부모 동반 여행,드름산,1,0.0
f000007,남,40,2인 가족 여행,W 웨딩,12,2.0
f000007,남,40,2인 가족 여행,회동수원지,1,2.0
f000007,남,40,2인 가족 여행,범어사,2,2.0
f000007,남,40,2인 가족 여행,방어진항 남 방파제,7,2.0
f000007,남,40,2인 가족 여행,슬도,1,2.0
f000007,남,40,2인 가족 여행,대왕암공원 출렁다리,1,2.0
f000007,남,40,2인 가족 여행,훈스짐,12,2.0
f000007,남,40,2인 가족 여행,일산해수욕장,1,2.0
f000012,남,30,2인 여행(가족 외),경포해수욕장,7,2.0
f000012,남,30,2인 여행(가족 외),소 돌아들 바위,1,2.0
f000012,남,30,2인 여행(가족 외),주문진 방사제,2,2.0
f000014,남,30,2인 가족 여행,철원 한탄강 주상절리길 드르니 매표소,1,1.0
f000014,남,30,2인 가족 여행,철원 한탄강 주상절리길 순담 매표소,1,1.0
f000014,남,30,2인 가족 여행,고석정,2,1.0
f000014,남,30,2인 가족 여행,포천아트밸리,1,1.0
f000014,남,30,2인 가족 여행,명동거리,4,1.0
