TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,CLUSTER
e000295,남,20,3인 이상 여행(가족 외),트레이더스 홀세일 클럽 안산점,4,0.0
e000295,남,20,3인 이상 여행(가족 외),백령 할인마트,4,0.0
e000295,남,20,3인 이상 여행(가족 외),사이 바다,4,0.0
e000335,여,30,2인 여행(가족 외),타임 테라스 A 블록,4,0.0
e000335,여,30,2인 여행(가족 외),스타필드 코엑스몰,4,0.0
e000335,여,30,2인 여행(가족 외),탑 플레이스 PC방 신천점,3,0.0
e000335,여,30,2인 여행(가족 외),잠실종합운동장,3,0.0
e000365,여,40,3인 이상 여행(가족 외),소이작도 부근 배 낚시터,5,0.0
e000365,여,40,3인 이상 여행(가족 외),바지락 체험어장,13,0.0
e000365,여,40,3인 이상 여행(가족 외),대이작도 해안탐방로,1,0.0
e000401,여,40,2인 가족 여행,시흥 프리미엄 아울렛,4,1.0
e000401,여,40,2인 가족 여행,스타필드 하남,4,1.0
e000437,여,20,2인 여행(가족 외),선녀바위,1,1.0
e000437,여,20,2인 여행(가족 외),을왕리 해수욕장,1,1.0
e000443,여,40,3인 이상 여행(가족 외),장봉도 공룡 침식 동굴,1,0.0
e000443,여,40,3인 이상 여행(가족 외),장봉도,7,0.0
e000443,여,40,3인 이상 여행(가족 외),가막머리 낙조,2,0.0
e000463,남,40,2인 여행(가족 외),가평 잣 고을시장,4,2.0
e000463,남,40,2인 여행(가족 외),지방도 제391호선,1,2.0
e000463,남,40,2인 여행(가족 외),고거산 족발보쌈,4,2.0
e000506,여,20,나홀로 여행,전등사,2,0.0
e000506,여,20,나홀로 여행,초지진,2,0.0
e000506,여,20,나홀로 여행,대명항 수산물 직판장,4,0.0
e000506,여,20,나홀로 여행,김포함상공원,7,0.0
e000574,여,30,2인 여행(가족 외),전등사,2,2.0
e000574,여,30,2인 여행(가족 외),강화 부근리 고인돌,2,2.0
e000574,여,30,2인 여행(가족 외),대한 성공회 강화성당,2,2.0
e000580,여,40,나홀로 여행,어둠 속의 대화,13,2.0
e000580,여,40,나홀로 여행,놀러와,4,2.0
e000580,여,40,나홀로 여행,감동 칩스 북촌 본점,4,2.0
e000580,여,40,나홀로 여행,백 년 토종삼계탕 북촌점,4,2.0
e000580,여,40,나홀로 여행,조선어학회 터,2,2.0
e000580,여,40,나홀로 여행,가회동성당,2,2.0
e000580,여,40,나홀로 여행,경복궁,2,2.0
e000580,여,40,나홀로 여행,배스킨라빈스 삼청 마당점,4,2.0
e000580,여,40,나홀로 여행,솔트 24,4,2.0
e000580,여,40,나홀로 여행,설화수의 집 북촌,4,2.0
e000588,여,40,2인 여행(가족 외),강화풍물시장,4,2.0
e000588,여,40,2인 여행(가족 외),채플 갤러리,2,2.0
e000588,여,40,2인 여행(가족 외),한옥카페 갤러리도 솔,3,2.0
e000588,여,40,2인 여행(가족 외),킴스클럽 부평점,4,2.0
e000632,여,60,나홀로 여행,덕수궁,2,0.0
e000632,여,60,나홀로 여행,남대문시장,4,0.0
e000736,여,40,자녀 동반 여행,한국잡월드,13,2.0
e000736,여,40,자녀 동반 여행,카페거부기&쿠펫 판교점,13,2.0
e000736,여,40,자녀 동반 여행,GS25 파미 버스 1점,12,2.0
e000823,여,40,나홀로 여행,조기역사관,2,0.0
e000823,여,40,나홀로 여행,등대공원,2,0.0
e000823,여,40,나홀로 여행,구리 동해 수욕장,1,0.0
e000823,여,40,나홀로 여행,백로 서식지,1,0.0
e000823,여,40,나홀로 여행,연평 평화 전망대,2,0.0
e000823,여,40,나홀로 여행,망향비,1,0.0
e000823,여,40,나홀로 여행,연평도 안보교육장,3,0.0
e000823,여,40,나홀로 여행,연평 책성,1,0.0
e000823,여,40,나홀로 여행,용기포항 서 방파제 등 대,1,0.0
e000823,여,40,나홀로 여행,끝섬 전망대,1,0.0
e000823,여,40,나홀로 여행,하늬 해변 패총,1,0.0
e000823,여,40,나홀로 여행,심청각,2,0.0
e000823,여,40,나홀로 여행,백령도 유람선,5,0.0
e000823,여,40,나홀로 여행,두무진,1,0.0
e000823,여,40,나홀로 여행,중화동 교회,2,0.0
e000823,여,40,나홀로 여행,용트림 바위,1,0.0
e000823,여,40,나홀로 여행,4년 노송,1,0.0
e000823,여,40,나홀로 여행,콩돌해안,1,0.0
e000823,여,40,나홀로 여행,사자바위,1,0.0
e000823,여,40,나홀로 여행,천안함 46용사 위령탑,2,0.0
e000823,여,40,나홀로 여행,백령 대교,1,0.0
e000823,여,40,나홀로 여행,사곶천연비행장,1,0.0
e000823,여,40,나홀로 여행,용기포구 등대,2,0.0
e000823,여,40,나홀로 여행,백령면 사무소,8,0.0
e000823,여,40,나홀로 여행,물범바위,1,0.0
e000823,여,40,나홀로 여행,신항 먹거리타운,4,0.0
e000847,여,30,3인 이상 여행(가족 외),갑곶 돈대,2,2.0
e000847,여,30,3인 이상 여행(가족 외),대한 성공회 강화성당,2,2.0
e000847,여,30,3인 이상 여행(가족 외),강화성당,2,2.0
e000847,여,30,3인 이상 여행(가족 외),고려궁지,2,2.0
e000847,여,30,3인 이상 여행(가족 외),강화 광성보,2,2.0
e000847,여,30,3인 이상 여행(가족 외),조양 방직,4,2.0
e000866,여,20,2인 여행(가족 외),수원 화성,2,0.0
e000866,여,20,2인 여행(가족 외),화홍문 문화거리,4,0.0
e000866,여,20,2인 여행(가족 외),코지 프로젝트,4,0.0
e000866,여,20,2인 여행(가족 외),rmAnn,4,0.0
e000866,여,20,2인 여행(가족 외),행궁에뜨왈,4,0.0
e000866,여,20,2인 여행(가족 외),화성행궁,2,0.0
e000866,여,20,2인 여행(가족 외),수원 공방거리,4,0.0
e000866,여,20,2인 여행(가족 외),효원공원 월화원,1,0.0
e000866,여,20,2인 여행(가족 외),나혜석거리,4,0.0
e000903,남,30,2인 여행(가족 외),고양이역 카페,6,2.0
e000903,남,30,2인 여행(가족 외),목섬(항도),1,2.0
e000903,남,30,2인 여행(가족 외),측도,1,2.0
e000903,남,30,2인 여행(가족 외),장미네,4,2.0
e000903,남,30,2인 여행(가족 외),영흥 주안 닭강정,4,2.0
e000903,남,30,2인 여행(가족 외),십리포해수욕장,1,2.0
e000903,남,30,2인 여행(가족 외),낙조 전망대,1,2.0
e000905,남,30,나홀로 여행,더 빈 컨벤션 웨딩홀,3,1.0
e000905,남,30,나홀로 여행,롯데백화점 동탄점,4,1.0
e000905,남,30,나홀로 여행,수란 정 농원,13,1.0
e000905,남,30,나홀로 여행,롯데 프리미엄 아울렛 타임 빌라스,4,1.0
e000905,남,30,나홀로 여행,타임 테라스 A 블록,4,1.0
e000905,남,30,나홀로 여행,트레이더스 홀세일 클럽 동탄점,4,1.0
e001007,여,40,자녀 동반 여행,트레이더스 홀세일 클럽 스타필드 시티 부천점,4,2.0
e001007,여,40,자녀 동반 여행,월미도,6,2.0
e001007,여,40,자녀 동반 여행,월미도 선착장,13,2.0
e001007,여,40,자녀 동반 여행,선녀바위,1,2.0
e001007,여,40,자녀 동반 여행,수도국산 달동네 박물관,13,2.0
e001078,여,30,자녀 동반 여행,인천광역시 교육청 교육과 학정 보원 인천학생과학관,3,2.0
e001078,여,30,자녀 동반 여행,인천국제공항 하늘정원,1,2.0
e001078,여,30,자녀 동반 여행,롯데마트 송도점,4,2.0
e001078,여,30,자녀 동반 여행,송도센트럴파크,1,2.0
e001085,남,40,2인 여행(가족 외),롯데월드타워 롯데월드몰,4,1.0
e001085,남,40,2인 여행(가족 외),롯데 에비뉴엘 잠실점,3,1.0
e001112,여,40,자녀 동반 여행,은하수 광장,4,2.0
e001112,여,40,자녀 동반 여행,구읍뱃터,7,2.0
e001122,여,20,2인 여행(가족 외),나인 트리 프리미어 호텔 서울 판교,6,1.0
e001122,여,20,2인 여행(가족 외),호암미술관,3,1.0
e001133,여,40,2인 가족 여행,발리다,4,1.0
e001133,여,40,2인 가족 여행,대부바다 향기테마파크,1,1.0
e001139,여,40,자녀 동반 여행,현대 프리미엄 아울렛 김포점,4,1.0
e001139,여,40,자녀 동반 여행,아라 김포여객터미널 아라마린센터,8,1.0
e001156,남,20,2인 여행(가족 외),서울로 717,7,0.0
e001156,남,20,2인 여행(가족 외),천주교 서울 대교구 주교좌 명동 대성당,2,0.0
e001156,남,20,2인 여행(가족 외),명동거리,4,0.0
