TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY,TRAVEL_ID,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_DAYS,MAIN_TRAVEL_MONTH,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RELATION_TYPE,CLUSTER
g003414,0,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.0,1.0,2인 여행(가족 외),g_g003414,2023-07-08,2023-07-10,자가용,3,7,퍼플 섬 주차장,7,4.0,4.0,5.0,친구,2.0
g003414,0,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.0,1.0,2인 여행(가족 외),g_g003414,2023-07-08,2023-07-10,자가용,3,7,목포 해상 케이블카 북항 승강장,13,5.0,5.0,5.0,친구,2.0
g003414,0,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.0,1.0,2인 여행(가족 외),g_g003414,2023-07-08,2023-07-10,자가용,3,7,목포자연사박물관,2,5.0,5.0,5.0,친구,2.0
h006468,0,0.5,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,자녀 동반 여행,h_h006468,2023-09-16,2023-09-17,,2,9,액트몬 제주 중문점,13,3.0,2.0,3.0,가족,2.0
h006468,0,0.5,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,자녀 동반 여행,h_h006468,2023-09-16,2023-09-17,,2,9,이마트 서귀포점,4,4.0,5.0,5.0,가족,2.0
h003272,1,0.75,0.3333333333333333,0.5,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,나홀로 여행,h_h003272,2023-08-27,2023-08-28,,2,8,기당미술관,3,4.0,5.0,4.0,혼자,1.0
h003272,1,0.75,0.3333333333333333,0.5,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,나홀로 여행,h_h003272,2023-08-27,2023-08-28,,2,8,이중섭미술관,3,4.0,4.0,4.0,혼자,1.0
h003272,1,0.75,0.3333333333333333,0.5,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,나홀로 여행,h_h003272,2023-08-27,2023-08-28,,2,8,소암기념관,3,4.0,4.0,4.0,혼자,1.0
h003272,1,0.75,0.3333333333333333,0.5,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,나홀로 여행,h_h003272,2023-08-27,2023-08-28,,2,8,원앙폭포,1,5.0,5.0,5.0,혼자,1.0
h006175,1,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,나홀로 여행,h_h006175,2023-09-06,2023-09-08,대중교통 등,3,9,신동아 렌터카,12,5.0,5.0,5.0,혼자,0.0
h006175,1,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,나홀로 여행,h_h006175,2023-09-06,2023-09-08,대중교통 등,3,9,용두암,1,4.0,4.0,3.0,혼자,0.0
h006175,1,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,나홀로 여행,h_h006175,2023-09-06,2023-09-08,대중교통 등,3,9,함덕해수욕장,1,4.0,4.0,4.0,혼자,0.0
h006175,1,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,나홀로 여행,h_h006175,2023-09-06,2023-09-08,대중교통 등,3,9,숙소 앞 바다,1,5.0,5.0,5.0,혼자,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,이호 테우 등대,1,4.0,3.0,4.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,상가리 야자숲,1,3.0,2.0,3.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,곽지해수욕장,1,3.0,3.0,3.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,산방산 탄산온천,6,5.0,5.0,5.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,마리메 주차장,1,4.0,4.0,5.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,금오름,1,4.0,3.0,4.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,판포 포구,1,4.0,4.0,4.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,제주동문재래 야시장,4,2.0,2.0,2.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,창금,1,5.0,5.0,5.0,친구,0.0
h002865,1,0.25,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2인 여행(가족 외),h_h002865,2023-09-02,2023-09-05,대중교통 등,4,9,도두봉,1,4.0,3.0,3.0,친구,0.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,선녀바위 해변 공영주차장,1,4.0,4.0,4.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,선녀바위,1,5.0,5.0,5.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,선녀바위해수욕장,1,5.0,5.0,5.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,을왕리 해수욕장,1,3.0,3.0,3.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,구읍뱃터,4,3.0,3.0,3.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,씨사이드 파크,1,4.0,4.0,4.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,영종 제빵소,1,4.0,3.0,3.0,혼자,1.0
e006309,0,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,나홀로 여행,e_e006309,2023-08-03,2023-08-06,대중교통 등,4,8,롯데몰 김포공항점,4,3.0,3.0,3.0,혼자,1.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,평대리 해수욕장,1,5.0,5.0,5.0,혼자,0.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,오저여,1,4.0,4.0,5.0,혼자,0.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,함덕해수욕장,1,4.0,4.0,4.0,혼자,0.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,금능해수욕장,1,4.0,4.0,4.0,혼자,0.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,금능반지하,4,4.0,4.0,4.0,혼자,0.0
h004106,1,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,나홀로 여행,h_h004106,2023-08-17,2023-08-22,대중교통 등,6,8,월령 선인장 마을,1,4.0,2.0,2.0,혼자,0.0
