TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,CLUSTER
e000005,여,30,2인 가족 여행,월미도,1,0.0
e000005,여,30,2인 가족 여행,월미테마파크,6,0.0
e000005,여,30,2인 가족 여행,개항e지 투어,13,0.0
e000005,여,30,2인 가족 여행,송도센트럴파크 이스트보트하우스,5,0.0
e000005,여,30,2인 가족 여행,더 위크 앤리조트 워터파크,6,0.0
e000005,여,30,2인 가족 여행,을왕리 해수욕장,1,0.0
e000005,여,30,2인 가족 여행,G 타워,3,0.0
e000043,남,30,나홀로 여행,행정안전부 대통령기록관,2,0.0
e000043,남,30,나홀로 여행,국립세종수목원,1,0.0
e000043,남,30,나홀로 여행,그리너리,4,0.0
e000043,남,30,나홀로 여행,국립세종 도서관,3,0.0
e000043,남,30,나홀로 여행,정부세종청사 체육관,3,0.0
e000043,남,30,나홀로 여행,평택호 예술공원 평택호 예술관,3,0.0
e000043,남,30,나홀로 여행,메인스트리트,4,0.0
e000043,남,30,나홀로 여행,소풍 정원,1,0.0
e000043,남,30,나홀로 여행,평택시 농업 생태원,1,0.0
e000043,남,30,나홀로 여행,내리 문화공원,1,0.0
e000191,남,30,자녀 동반 여행,영성가가,4,2.0
e000316,여,20,2인 여행(가족 외),리움미술관,3,1.0
e000316,여,20,2인 여행(가족 외),63아트,3,1.0
e000316,여,20,2인 여행(가족 외),천주교 서울 대교구 주교좌 명동 대성당,2,1.0
e000316,여,20,2인 여행(가족 외),문화역 서울 284,2,1.0
e000316,여,20,2인 여행(가족 외),화성행궁,2,1.0
e000316,여,20,2인 여행(가족 외),수원 화성 화서문,2,1.0
e000668,여,30,3대 동반 여행(친척 포함),인천종합어시장,4,1.0
e000668,여,30,3대 동반 여행(친척 포함),나야 풍란원,12,1.0
e001033,여,30,나홀로 여행,굴암사,2,0.0
e001033,여,30,나홀로 여행,이월 서갑,4,0.0
e001033,여,30,나홀로 여행,숲속 숯가마 용인점,13,0.0
e001240,여,30,나홀로 여행,장호원 오일장,8,1.0
e001240,여,30,나홀로 여행,카페 다원,4,1.0
e001423,여,50,나홀로 여행,예산 상설시장,4,1.0
e001423,여,50,나홀로 여행,봉곡사,2,1.0
e001579,남,20,2인 가족 여행,맘스터치 서원대점,4,0.0
